BRIN;VESTNR;naam;plaats;SCHOOLJAAR_2013;TOETS_2013;VERSIE_BL_2013;VERSIE_RW_2013;N_AFN_2013;N_AFN_2013_rw;N_DLN_2013;N_DLN_2013_rw;SCORE_2013;SCORE_2013_rw;SCHOOLJAAR_2012;TOETS_2012;VERSIE_BL_2012;VERSIE_RW_2012;N_AFN_2012;N_AFN_2012_rw;N_DLN_2012;N_DLN_2012_rw;SCORE_2012;SCORE_2012_rw;SCHOOLJAAR_2011;TOETS_2011;VERSIE_BL_2011;VERSIE_RW_2011;N_AFN_2011;N_AFN_2011_rw;N_DLN_2011;N_DLN_2011_rw;SCORE_2011;SCORE_2011_rw;DE_special_SCORE_2012;DE_special_SCORE_2012_rw;DE_SPECIAL_SCORE_2011;DE_SPECIAL_SCORE_2011_rw;status;gew03;gew12;ARUBA;DEMOLUKSEEILANDEN;GIEKENLAND;ITALIE;KAAPVERDIE;MAROKKO;NEDERLANDSEANTILLEN;NIETENGELSTALIGEN;PORTUGAL;SPANJE;SURINAME;TUNESIE;TURKIJE;VLUCHTELINGEN;VMLJOEGOSLAVIE;deelnaamper;waretoets;PRE_1;RES_1;verwacht;toegevoegd;waretoets1
00CU;0,00;basisschool Zilverlinde;Roosendaal;2013,00;drempel;;;3,00;;3,00;;;;2012,00;drempel;;;10,00;;10,00;;532,70;;2011,00;anders;;;-1,00;;-1,00;;;;;;;;0,37;0,00;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;-0,52;0,55;-1,07;536,26;-4,35;531,91
00CV;0,00;a.b.b.s. Matthijsje;Oosterstreek;2013,00;cito;;;12,00;;12,00;;537,00;;2012,00;cito;;;7,00;;6,00;;539,40;;2011,00;cito;;;9,00;;9,00;;541,60;;;;;;11,58;0,00;0,03;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;3,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;96,43;1,27;0,55;0,72;536,25;2,93;539,19
00DA;0,00;c.b.s. Betrouwen;Bakkeveen;2013,00;drempel;;;9,00;;9,00;;538,10;;2012,00;drempel;;;10,00;;10,00;;529,00;;2011,00;drempel;;;11,00;;11,00;;536,50;;;;;;16,04;0,05;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;0,05;0,49;-0,44;535,98;-1,77;534,21
00DD;0,00;Jenaplan school 't Startnest;Uithoorn;2013,00;andere;;;-1,00;;-1,00;;;;2012,00;anders;;;-1,00;;-1,00;;;;2011,00;anders;;;-1,00;;-1,00;;;;;;;;8,54;0,05;0,05;0,0%;0,0%;0,0%;0,0%;0,0%;9,8%;0,3%;7,5%;0,3%;0,0%;1,0%;0,0%;0,7%;2,0%;0,7%;;;;;;;
00DM;0,00;Openbare Basisschool De Bolderik;Heeswijk-Dinther;2013,00;cito;;;19,00;;18,00;;536,80;;2012,00;cito;;;26,00;;26,00;;538,40;;2011,00;cito;;;19,00;;19,00;;541,90;;;;;;26,87;0,01;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;1,1%;0,0%;0,0%;0,6%;0,0%;0,0%;0,0%;0,0%;98,44;1,23;0,76;0,46;537,11;1,89;539,00
00DN;0,00;openbare basisschool de Bundeling;Bunde;2013,00;cito;;;28,00;;30,00;;534,40;;2012,00;cito;;;28,00;;28,00;;536,40;;2011,00;cito;;;30,00;;29,00;;537,00;;;;;;24,86;0,00;0,04;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,5%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;0,48;0,69;-0,21;536,80;-0,84;535,97
00DO;0,00;Van Rijckevorsel;Hoek van Holland;2013,00;cito;;;28,00;;26,00;;536,50;;2012,00;cito;;;30,00;;25,00;;537,00;;2011,00;cito;;;22,00;;19,00;;536,50;;;;;;22,24;0,12;0,02;0,0%;0,0%;0,0%;0,0%;0,0%;1,7%;1,2%;2,3%;0,0%;0,0%;0,0%;0,0%;1,2%;0,0%;0,0%;87,50;0,48;0,22;0,26;534,89;1,06;535,95
00DW;0,00;Basisschool de Trompetter;Angerlo;2013,00;cito;;;30,00;;30,00;;531,30;;2012,00;cito;;;25,00;;25,00;;536,20;;2011,00;cito;;;23,00;;24,00;;537,70;;;;;;23,16;0,01;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;0,28;0,72;-0,43;536,92;-1,76;535,16
00DX;0,00;Vrijeschool de Es;Assen;2013,00;drempel;;;19,00;;19,00;;540,10;;2012,00;anders;;;-1,00;;-1,00;;;;2011,00;drempel;;;27,00;;27,00;;540,20;;;;;;18,57;0,00;0,03;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,7%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;1,84;0,64;1,19;536,62;4,85;541,47
00DY;0,00;Basisschool De Wegwijzer;'t Harde;2013,00;SEO;;;13,00;;13,00;;-1,73;;2012,00;seo;;;4,00;;4,00;;;;2011,00;seo;;;7,00;;7,00;;1,04;;;;;;25,59;0,00;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;-0,28;0,78;-1,06;537,19;-4,31;532,88
00DZ;0,00;Basisschool Agnieten;Elburg;2013,00;cito;;;12,00;;12,00;;535,50;;2012,00;cito;;;15,00;;15,00;;535,30;;2011,00;cito;;;14,00;;12,00;;535,80;;;;;;22,26;0,00;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;2,5%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;95,12;0,30;0,73;-0,42;536,97;-1,72;535,25
00EB;0,00;basisschool Het Telraam;Oeffelt;2013,00;cito;;;23,00;;22,00;;535,40;;2012,00;cito;;;30,00;;29,00;;534,90;;2011,00;cito;;;42,00;;40,00;;538,30;;;;;;26,33;0,02;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,4%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;95,79;0,48;0,70;-0,22;536,87;-0,90;535,97
00EI;0,00;Reformatorische basisschool Groen van Prinsterer;Klaaswaal;2013,00;cito;;;12,00;;12,00;;540,50;;2012,00;cito;;;12,00;;12,00;;536,10;;2011,00;cito;;;19,00;;19,00;;533,60;;;;;;25,66;0,22;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;0,64;-0,03;0,68;533,88;2,75;536,63
00FE;0,00;Gereformeerde basisschool De Halm;Almkerk;2013,00;cito;;;8,00;;8,00;;538,80;;2012,00;seo;;;19,00;;19,00;;0,70;;2011,00;seo;;;13,00;;13,00;;2,20;;;;;;20,70;0,03;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;1,8%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;1,33;0,62;0,72;536,52;2,91;539,43
00FG;0,00;De Triangel;Hengelo Ov;2013,00;cito;;;16,00;;16,00;;539,30;;2012,00;seo;;;14,00;;14,00;;-0,30;;2011,00;seo;;;12,00;;12,00;;;;;;;;5,93;0,00;0,03;0,9%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;2,8%;0,0%;100,00;0,54;0,48;0,05;535,98;0,20;536,18
00FI;0,00;SWBS Pork;Ter Apel;2013,00;cito;;;28,00;;28,00;;539,60;;2012,00;cito;;;21,00;;21,00;;533,10;;2011,00;cito;;;27,00;;26,00;;536,50;;;;;;9,14;0,09;0,04;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;2,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,5%;98,68;0,54;0,21;0,34;534,85;1,36;536,22
