BRIN;VESTNR;naam;plaats;SCHOOLJAAR_2013;TOETS_2013;VERSIE_BL_2013;VERSIE_RW_2013;N_AFN_2013;N_AFN_2013_rw;N_DLN_2013;N_DLN_2013_rw;SCORE_2013;SCORE_2013_rw;SCHOOLJAAR_2012;TOETS_2012;VERSIE_BL_2012;VERSIE_RW_2012;N_AFN_2012;N_AFN_2012_rw;N_DLN_2012;N_DLN_2012_rw;SCORE_2012;SCORE_2012_rw;SCHOOLJAAR_2011;TOETS_2011;VERSIE_BL_2011;VERSIE_RW_2011;N_AFN_2011;N_AFN_2011_rw;N_DLN_2011;N_DLN_2011_rw;SCORE_2011;SCORE_2011_rw;DE_special_SCORE_2012;DE_special_SCORE_2012_rw;DE_SPECIAL_SCORE_2011;DE_SPECIAL_SCORE_2011_rw;status;gew03;gew12;ARUBA;DEMOLUKSEEILANDEN;GIEKENLAND;ITALIE;KAAPVERDIE;MAROKKO;NEDERLANDSEANTILLEN;NIETENGELSTALIGEN;PORTUGAL;SPANJE;SURINAME;TUNESIE;TURKIJE;VLUCHTELINGEN;VMLJOEGOSLAVIE;deelnaamper;waretoets;PRE_1;RES_1;verwacht;toegevoegd;waretoets1
06QT;0,00;c.b.s. De Bron;Marum;2013,00;cito;;;41,00;;41,00;;531,70;;2012,00;cito;;;39,00;;39,00;;533,40;;2011,00;cito;;;47,00;;48,00;;533,10;;;;;;14,55;0,06;0,01;0,0%;5,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,6%;0,0%;0,0%;0,0%;0,0%;0,3%;0,0%;0,0%;100,00;-0,31;0,34;-0,65;535,38;-2,63;532,75
06QV;0,00;c.b.s. Rehoboth;Oldekerk;2013,00;cito;;;20,00;;19,00;;536,40;;2012,00;cito;;;24,00;;24,00;;536,20;;2011,00;lvs;1998 midden;2009 midden;22,00;22,00;22,00;22,00;59,40;;;;;22,70;16,23;0,06;0,01;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,6%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,6%;98,48;0,49;0,47;0,03;535,91;0,10;536,02
06QY;0,00;Vrije School Parcival;Amstelveen;2013,00;drempel;;;27,00;;27,00;;538,80;;2012,00;drempel;;;26,00;;26,00;;539,70;;2011,00;drempel;;;25,00;;25,00;;539,00;;;;;;11,67;0,00;0,01;0,0%;0,0%;0,5%;0,5%;0,0%;0,0%;0,9%;8,7%;0,5%;0,0%;2,7%;0,0%;0,0%;0,0%;0,0%;100,00;1,56;0,69;0,87;536,81;3,54;540,35
06QZ;0,00;Westfriese Vrije School Parcival;Hoorn Nh;2013,00;andere;;;-1,00;;-1,00;;;;2012,00;;;;-1,00;;-1,00;;;;2011,00;lvs;;2009 midden;-1,00;31,00;-1,00;30,00;;;.;0;;10,00;14,21;0,01;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;2,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;;;;;;
06RA;0,00;basisschool Oranje Nassau;Zwammerdam;2013,00;cito;;;17,00;;17,00;;536,80;;2012,00;cito;;;17,00;;17,00;;541,00;;2011,00;cito;;;18,00;;18,00;;544,50;;;;;;20,01;0,05;0,01;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;1,4%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;1,69;0,52;1,17;536,11;4,76;540,87
06RD;0,00;Vrije School Zaanstreek;Zaandam;2013,00;drempel;;;24,00;;24,00;;534,30;;2012,00;drempel;;;13,00;;13,00;;533,80;;2011,00;drempel;;;22,00;;22,00;;536,80;;;;;;-15,34;0,04;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,7%;0,0%;6,6%;0,7%;0,0%;2,6%;0,0%;2,0%;0,0%;0,0%;100,00;0,21;0,23;-0,01;534,93;-0,05;534,88
06RE;0,00;Vrije School Widar;Delft;2013,00;lvs;2010 MIDDEN;2009 MIDDEN;30,00;30,00;30,00;30,00;67,60;119,90;2012,00;lvs;2010 MIDDEN;2009 MIDDEN;29,00;29,00;28,00;28,00;;;2011,00;lvs;1998 midden;2002 midden;24,00;24,00;24,00;24,00;74,00;124,00;3.5;7.1;;;6,74;0,01;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;98,80;2,16;0,57;1,60;536,32;6,49;542,80
06RF;0,00;Parcivalschool;Arnhem;2013,00;lvs;2010 MIDDEN;2009 MIDDEN;17,00;17,00;17,00;17,00;64,30;111,50;2012,00;lvs;2010 MIDDEN;2009 MIDDEN;7,00;7,00;7,00;7,00;;;2011,00;lvs;1998 midden;2002 midden;14,00;14,00;13,00;13,00;65,20;122,00;0;0;;;-5,40;0,01;0,01;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,6%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;97,37;1,10;0,48;0,62;535,94;2,54;538,48
06RG;0,00;Vrijeschool De Stroeten;Emmen;2013,00;drempel;;;4,00;;4,00;;;;2012,00;drempel;;;8,00;;7,00;;542,00;;2011,00;drempel;;;3,00;;3,00;;;;;;;;3,54;0,04;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;93,33;2,45;0,44;2,01;535,80;8,16;543,97
06RH;0,00;basisschool De Dubbele Punt;Geersdijk;2013,00;cito;;;2,00;;2,00;;;;2012,00;cito;;;4,00;;4,00;;;;2011,00;cito;;;8,00;;8,00;;533,90;;;;;;5,62;0,07;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;-0,09;0,34;-0,44;535,41;-1,78;533,63
06RK;0,00;p.c.b.s. De Schalmei;Tzummarum;2013,00;cito;;;10,00;;10,00;;537,30;;2012,00;cito;;;5,00;;5,00;;530,20;;2011,00;entree;;;5,00;;4,00;;;;;;;;0,37;0,01;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;95,00;-0,14;0,50;-0,65;536,06;-2,63;533,42
06RL;0,00;De Wiekslag;Bruchterveld;2013,00;cito;;;14,00;;14,00;;539,10;;2012,00;cito;;;20,00;;20,00;;533,50;;2011,00;cito;;;16,00;;15,00;;537,20;;;;;;20,67;0,10;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;98,00;0,59;0,37;0,22;535,52;0,88;536,40
06RM;0,00;Vrijeschool Raphael Almere;Almere;2013,00;cito;;;25,00;;23,00;;541,10;;2012,00;drempel;;;24,00;;22,00;;537,60;;2011,00;drempel;;;25,00;;22,00;;537,50;;;;;;-12,09;0,01;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,4%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;90,54;1,15;0,43;0,73;535,75;2,95;538,70
06RN;0,00;Oecumenische Basisschool De Terp;Weesp;2013,00;cito;;;50,00;;50,00;;538,40;;2012,00;lvs;2010 MIDDEN;2009 MIDDEN;32,00;32,00;32,00;32,00;;;2011,00;entree;;;32,00;;32,00;;300,50;;15.6;12.5;;;15,71;0,00;0,00;0,4%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;2,3%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;1,12;0,66;0,46;536,68;1,86;538,54
06RP;0,00;basisschool St. Stephanus;Bornerbroek;2013,00;cito;;;41,00;;41,00;;538,20;;2012,00;cito;;;24,00;;23,00;;535,80;;2011,00;cito;;;18,00;;18,00;;537,20;;;;;;21,75;0,02;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;98,80;0,73;0,67;0,06;536,72;0,24;536,96
06RQ;0,00;Rooms Katholieke Basisschool De Kabas;Franeker;2013,00;cito;;;18,00;;18,00;;539,40;;2012,00;cito;;;13,00;;13,00;;530,10;;2011,00;cito;;;13,00;;12,00;;529,50;;;;;;10,11;0,02;0,01;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;97,73;-0,33;0,54;-0,86;536,19;-3,51;532,68
06RR;0,00;Basisschool Het Blokhuus;Hoevelaken;2013,00;cito;;;33,00;;31,00;;538,40;;2012,00;cito;;;27,00;;26,00;;539,20;;2011,00;cito;;;40,00;;38,00;;537,90;;;;;;30,65;0,05;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;95,00;1,04;0,65;0,39;536,65;1,57;538,22
06RS;0,00;School met de Bijbel De Hoeksteen;Nieuwlande;2013,00;SEO;;;15,00;;15,00;;-0,10;;2012,00;seo;;;20,00;;20,00;;1,04;;2011,00;seo;;;14,00;;14,00;;-0,13;;;;;;14,16;0,02;0,06;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;0,31;0,47;-0,16;535,90;-0,65;535,25
06RT;0,00;School met de Bijbel Notter-Zuna;Notter;2013,00;cito;;;16,00;;16,00;;536,50;;2012,00;cito;;;7,00;;7,00;;531,20;;2011,00;cito;;;16,00;;16,00;;536,80;;;;;;23,92;0,07;0,03;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;0,19;0,45;-0,26;535,84;-1,07;534,76
06RU;0,00;De Helmstok;Lelystad;2013,00;SEO;;;22,00;;23,00;;0,95;;2012,00;seo;;;21,00;;22,00;;-0,79;;2011,00;seo;;;10,00;;10,00;;0,65;;;;;;-11,96;0,01;0,01;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;0,21;0,42;-0,21;535,72;-0,84;534,88
06RW;0,00;Basisschool St. Willibrordus;Bakel;2013,00;cito;;;39,00;;39,00;;532,40;;2012,00;cito;;;51,00;;51,00;;536,70;;2011,00;cito;;;36,00;;35,00;;535,40;;;;;;21,64;0,09;0,03;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,3%;0,8%;0,0%;0,3%;0,0%;0,0%;0,0%;0,0%;99,21;0,21;0,31;-0,10;535,27;-0,42;534,85
06RX;0,00;Basisschool St. Martinus;Megchelen;2013,00;cito;;;18,00;;18,00;;529,10;;2012,00;cito;;;15,00;;15,00;;539,00;;2011,00;cito;;;12,00;;11,00;;539,30;;;;;;25,74;0,00;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,8%;0,0%;0,0%;97,78;0,45;0,78;-0,33;537,18;-1,32;535,85
06RY;0,00;basisschool De Vliet;Klaaswaal;2013,00;cito;;;15,00;;15,00;;541,50;;2012,00;cito;;;14,00;;13,00;;541,40;;2011,00;cito;;;20,00;;20,00;;534,00;;;;;;24,64;0,00;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,7%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;97,96;1,18;0,76;0,42;537,10;1,70;538,79
06RZ;0,00;De Ark;Daarle;2013,00;cito;;;20,00;;20,00;;535,60;;2012,00;cito;;;21,00;;21,00;;536,90;;2011,00;cito;;;26,00;;25,00;;535,90;;;;;;18,68;0,12;0,01;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;98,51;0,50;0,23;0,27;534,96;1,10;536,06
06SB;0,00;basisschool Kadoes;Albergen;2013,00;cito;;;64,00;;62,00;;530,30;;2012,00;cito;;;62,00;;60,00;;537,30;;2011,00;cito;;;62,00;;57,00;;537,10;;;;;;19,75;0,07;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;95,21;0,18;0,46;-0,28;535,88;-1,13;534,75
06SC;0,00;r.k.b.s. Kardinaal de Jong;Nes Ameland;2013,00;cito;;;24,00;;24,00;;529,70;;2012,00;cito;;;30,00;;30,00;;531,90;;2011,00;anders;;;-1,00;;-1,00;;;;;;;;14,25;0,04;0,01;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;-0,74;0,48;-1,22;535,98;-4,98;531,00
06SE;0,00;Gereformeerde basisschool De Poort;Ten Boer;2013,00;cito;;;18,00;;18,00;;535,70;;2012,00;cito;;;22,00;;22,00;;538,20;;2011,00;cito;;;21,00;;21,00;;542,20;;;;;;20,09;0,04;0,01;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;1,17;0,56;0,61;536,29;2,48;538,77
06SF;0,00;r.k.b.s. Gerardus Majella;Nieuw-Schoonebeek;2013,00;cito;;;23,00;;22,00;;531,00;;2012,00;cito;;;17,00;;17,00;;536,50;;2011,00;cito;;;25,00;;25,00;;527,90;;;;;;15,92;0,04;0,01;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,6%;1,9%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,6%;98,46;-0,56;0,48;-1,04;535,96;-4,22;531,74
06SG;0,00;p.c.b.s. De Wyngert;Drachtstercompagnie;2013,00;lvs;2010 MIDDEN;2009 MIDDEN;10,00;10,00;10,00;10,00;59,10;118,00;2012,00;lvs;2010 MIDDEN;2009 MIDDEN;9,00;9,00;9,00;9,00;;;2011,00;lvs;2010 midden;2009 midden;14,00;14,00;14,00;14,00;;;0;11.1;0,00;7,10;19,18;0,06;0,04;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;1,17;0,42;0,75;535,71;3,06;538,78
06SI;0,00;r.k.b.s. St. Theresia;Barger-Compascuum;2013,00;cito;;;24,00;;24,00;;528,50;;2012,00;cito;;;12,00;;12,00;;530,90;;2011,00;cito;;;17,00;;17,00;;536,20;;;;;;1,43;0,21;0,04;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,7%;0,0%;0,0%;0,0%;0,0%;100,00;-0,51;-0,32;-0,19;532,71;-0,78;531,93
06SJ;0,00;basisschool Augustinus;Papendrecht;2013,00;cito;;;22,00;;22,00;;536,40;;2012,00;cito;;;18,00;;19,00;;535,30;;2011,00;cito;;;19,00;;19,00;;532,60;;;;;;24,40;0,08;0,01;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;0,17;0,44;-0,27;535,80;-1,08;534,72
06SK;0,00;basisschool De Leeuwerik;Lewedorp;2013,00;cito;;;30,00;;29,00;;536,60;;2012,00;cito;;;15,00;;15,00;;535,40;;2011,00;cito;;;24,00;;24,00;;534,60;;;;;;18,41;0,07;0,01;0,0%;0,0%;1,2%;0,0%;0,0%;0,0%;1,2%;2,9%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;98,55;0,35;0,55;-0,20;536,25;-0,83;535,41
06SL;0,00;Basisschool De Verrekijker;Amstenrade;2013,00;cito;;;38,00;;38,00;;537,20;;2012,00;cito;;;47,00;;47,00;;535,20;;2011,00;cito;;;37,00;;36,00;;536,30;;;;;;19,51;0,10;0,01;0,0%;0,0%;0,0%;0,0%;0,0%;0,3%;0,3%;0,3%;0,0%;0,0%;0,7%;0,0%;0,7%;0,0%;0,3%;99,18;0,53;0,33;0,19;535,36;0,79;536,15
06SM;0,00;r.k. daltonbasisschool Fredericus;Steggerda;2013,00;drempel;;;15,00;;15,00;;535,00;;2012,00;drempel;;;16,00;;16,00;;539,00;;2011,00;drempel;;;16,00;;16,00;;531,40;;;;;;14,08;0,07;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;1,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;0,29;0,41;-0,12;535,66;-0,48;535,19
06SN;0,00;p.c.b.s. De Tarissing;Rinsumageast;2013,00;cito;;;15,00;;15,00;;539,60;;2012,00;cito;;;14,00;;14,00;;532,00;;2011,00;cito;;;15,00;;15,00;;531,60;;;;;;16,20;0,02;0,02;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,9%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;0,06;0,55;-0,50;536,26;-2,01;534,24
06SO;0,00;basisschool Willibrordus;Oud-Beijerland;2013,00;cito;;;30,00;;30,00;;541,20;;2012,00;cito;;;32,00;;30,00;;542,30;;2011,00;cito;;;25,00;;25,00;;541,50;;;;;;28,26;0,02;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,4%;0,9%;0,0%;0,0%;0,9%;0,0%;0,0%;0,4%;0,0%;97,70;1,86;0,72;1,14;536,92;4,63;541,55
06SQ;0,00;Katholieke basisschool voor Jenaplanonderwijs St;Oude Pekela;2013,00;cito;;;11,00;;11,00;;527,40;;2012,00;cito;;;6,00;;6,00;;532,90;;2011,00;cito;;;12,00;;12,00;;535,40;;;;;;-2,95;0,27;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;-0,49;-0,48;-0,01;532,05;-0,05;532,01
06SR;0,00;c.b.s. De Foarikker;Siegerswoude;2013,00;;;;-1,00;;-1,00;;;;2012,00;cito;;;2,00;;2,00;;;;2011,00;anders;;;-1,00;;-1,00;;;;;;;;10,08;0,11;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;;0,21;;534,88;;
06ST;0,00;c.b.s. De Noordster;Nij Altoenae;2013,00;cito;;;13,00;;13,00;;536,20;;2012,00;cito;;;6,00;;6,00;;535,10;;2011,00;cito;;;16,00;;16,00;;528,00;;;;;;8,10;0,01;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;-0,24;0,57;-0,81;536,32;-3,30;533,02
06SW;0,00;St. Victorschool;Afferden Gld;2013,00;cito;;;27,00;;27,00;;532,60;;2012,00;cito;;;24,00;;24,00;;534,80;;2011,00;cito;;;25,00;;25,00;;537,50;;;;;;22,08;0,08;0,02;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;1,0%;0,0%;0,0%;0,0%;0,0%;0,0%;1,0%;0,0%;100,00;0,25;0,38;-0,13;535,54;-0,52;535,02
06SX;0,00;St. Martinusschool;Gaanderen;2013,00;cito;;;27,00;;27,00;;532,80;;2012,00;cito;;;13,00;;14,00;;534,40;;2011,00;cito;;;17,00;;17,00;;537,70;;;;;;18,15;0,09;0,01;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;0,25;0,36;-0,12;535,48;-0,47;535,01
06SY;0,00;Basisschool De Spil;Bingelrade;2013,00;cito;;;15,00;;15,00;;537,90;;2012,00;cito;;;9,00;;9,00;;541,90;;2011,00;cito;;;7,00;;7,00;;538,30;;;;;;26,78;0,03;0,08;0,0%;0,0%;0,0%;0,0%;0,0%;1,4%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;1,33;0,53;0,80;536,16;3,26;539,41
06SZ;0,00;cbs Eben Haezer;Kamerik;2013,00;cito;;;17,00;;17,00;;541,00;;2012,00;cito;;;20,00;;20,00;;538,30;;2011,00;cito;;;26,00;;25,00;;539,40;;;;;;25,41;0,03;0,00;0,0%;0,0%;0,0%;0,6%;0,0%;0,0%;0,0%;1,8%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;98,41;1,33;0,77;0,57;537,12;2,31;539,43
06TA;0,00;School met de Bijbel 't Kompas;Westbroek;2013,00;cito;;;14,00;;13,00;;535,40;;2012,00;cito;;;17,00;;17,00;;534,60;;2011,00;cito;;;12,00;;12,00;;539,40;;;;;;28,99;0,11;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;97,67;0,58;0,42;0,15;535,73;0,62;536,34
06TC;0,00;c.b.s. De Wel;Broeksterwald;2013,00;cito;;;17,00;;15,00;;532,40;;2012,00;;;;-1,00;;-1,00;;;;2011,00;anders;;;-1,00;;-1,00;;;;26;21.7;;;10,28;0,02;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;88,24;-0,44;0,56;-1,00;536,27;-4,06;532,20
06TD;0,00;De Bonte Mol;Schermerhorn;2013,00;lvs;2010 MIDDEN;2009 MIDDEN;25,00;25,00;25,00;24,00;55,20;113,20;2012,00;lvs;2010 MIDDEN;2009 MIDDEN;16,00;16,00;16,00;16,00;;;2011,00;entree;;;15,00;;14,00;;295,10;;0;31.2;;;17,99;0,06;0,01;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;98,21;0,26;0,46;-0,20;535,89;-0,81;535,08
06TF;0,00;basisschool D'n Opstap;Lage Mierde;2013,00;cito;;;20,00;;20,00;;539,30;;2012,00;cito;;;18,00;;18,00;;540,40;;2011,00;cito;;;19,00;;19,00;;533,30;;;;;;21,70;0,05;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;1,3%;0,0%;0,0%;0,0%;0,0%;0,0%;1,3%;0,0%;100,00;0,89;0,52;0,38;536,10;1,53;537,63
06TH;0,00;rkbs Lidwina;Zwaagdijk-West;2013,00;cito;;;3,00;;3,00;;;;2012,00;cito;;;5,00;;5,00;;531,70;;2011,00;cito;;;7,00;;7,00;;535,60;;;;;;15,80;0,03;0,00;0,0%;0,0%;2,5%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;-0,15;1,00;-1,14;538,06;-4,64;533,42
06TI;0,00;Anton Geerdes;Slagharen;2013,00;cito;;;22,00;;21,00;;536,60;;2012,00;cito;;;16,00;;16,00;;532,80;;2011,00;cito;;;22,00;;21,00;;532,70;;;;;;11,18;0,04;0,01;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,6%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;96,67;-0,06;0,45;-0,52;535,86;-2,10;533,76
06TK;0,00;Paulusschool;Giesbeek;2013,00;cito;;;32,00;;32,00;;532,50;;2012,00;cito;;;52,00;;52,00;;536,50;;2011,00;cito;;;52,00;;52,00;;535,20;;;;;;17,26;0,02;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,3%;0,0%;0,3%;0,0%;0,0%;0,0%;0,3%;0,3%;100,00;0,19;0,64;-0,45;536,61;-1,83;534,79
06TL;0,00;pcbs De Hoeksteen;Landsmeer;2013,00;cito;;;16,00;;16,00;;536,00;;2012,00;cito;;;25,00;;19,00;;535,70;;2011,00;cito;;;18,00;;17,00;;531,80;;;;;;20,66;0,07;0,02;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;1,4%;3,5%;0,0%;0,0%;0,0%;0,0%;1,4%;1,4%;0,0%;88,14;-0,06;0,35;-0,40;535,41;-1,63;533,78
06TM;0,00;rkbs St. Jozef;Zwaagdijk-Oost;2013,00;lvs;2010 MIDDEN;2009 MIDDEN;19,00;19,00;19,00;19,00;59,70;112,00;2012,00;lvs;2010 MIDDEN;2009 MIDDEN;14,00;14,00;14,00;14,00;;;2011,00;entree;;;14,00;;14,00;;288,10;;14.2;7.1;;;21,42;0,03;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;2,3%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;0,62;0,59;0,03;536,40;0,10;536,51
06TN;0,00;Esmoreit;Luttenberg;2013,00;cito;;;44,00;;44,00;;531,70;;2012,00;cito;;;27,00;;27,00;;535,60;;2011,00;cito;;;38,00;;38,00;;535,20;;;;;;23,24;0,10;0,01;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,7%;0,0%;0,0%;0,4%;0,0%;100,00;0,05;0,37;-0,31;535,50;-1,28;534,23
06TO;0,00;Antoniusschool;Didam;2013,00;cito;;;23,00;;23,00;;535,30;;2012,00;cito;;;22,00;;22,00;;534,20;;2011,00;cito;;;24,00;;24,00;;526,80;;;;;;18,15;0,05;0,01;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,6%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;-0,49;0,49;-0,98;535,98;-3,97;532,01
06TP;0,00;School met de Bijbel De Burcht;Aalst Gld;2013,00;cito;;;13,00;;13,00;;533,30;;2012,00;cito;;;14,00;;12,00;;531,50;;2011,00;cito;;;15,00;;15,00;;537,60;;;;;;22,43;0,23;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;95,24;-0,04;-0,12;0,08;533,53;0,33;533,86
06TR;0,00;basisschool Willibrordus;Vroomshoop;2013,00;cito;;;15,00;;15,00;;529,70;;2012,00;cito;;;23,00;;23,00;;532,10;;2011,00;cito;;;20,00;;19,00;;535,40;;;;;;11,78;0,13;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,6%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;98,28;-0,41;0,14;-0,55;534,58;-2,22;532,36
06TT;0,00;Basisschool De Zevenster;Uden;2013,00;drempel;;;8,00;;6,00;;536,30;;2012,00;drempel;;;11,00;;11,00;;530,20;;2011,00;drempel;;;11,00;;11,00;;533,50;;;;;;17,77;0,00;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;93,33;-0,41;0,70;-1,12;536,87;-4,54;532,33
06TU;0,00;Deventer Leerschool;Deventer;2013,00;lvs;2010 MIDDEN;2009 MIDDEN;29,00;29,00;29,00;29,00;66,30;115,30;2012,00;lvs;2010 MIDDEN;2009 MIDDEN;30,00;30,00;30,00;30,00;;;2011,00;lvs;1998 midden;2009 midden;25,00;25,00;25,00;25,00;56,40;;23.3;20;;36,00;-2,28;0,00;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;4,0%;0,0%;0,0%;100,00;0,74;0,51;0,23;536,09;0,92;537,01
