BEVOEGD GEZAG NUMMER;BRIN NUMMER;INSTELLINGSNAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES
10249;24ED;Openbare Basisschool Montessori;A.L. Lesturgeonstraat;3;7815 VD;EMMEN;Drenthe;0114;EMMEN;Openbaar;0591659874;www.montessori-emmen.nl;Postbus;1117;7801 BC;EMMEN
10249;30AG;Delftlanden;Zandzoom;19;7814 VH;EMMEN;Drenthe;0114;EMMEN;Openbaar;0591685555;www.obs-delftlanden.nl;Zandzoom;19;7814 VH;EMMEN
11711;06AQ;Openbare Basisschool De Lindehof;Lindelaan;34;9342 PL;EEN;Drenthe;1699;NOORDENVELD;Openbaar;0592656308;www.odbsdelindehof.nl;Lindelaan;34;9342 PL;EEN
11711;09FV;Openbare Basisschool De Hekakker;Schoolstraat;3;9331 AV;NORG;Drenthe;1699;NOORDENVELD;Openbaar;0592613224;www.obsdehekakker.nl;Schoolstraat;3;9331 AV;NORG
11711;09HF;Basisschool 't Spectrum;Hereweg;1-D;9321 CL;PEIZE;Drenthe;1699;NOORDENVELD;Openbaar;0505033612;www.spectrumpeize.nl;Postbus;5;9320 AA;PEIZE
11711;10BT;Openbare Basisschool De Vlinderhof;Ir. Mentropweg;72;9341 AT;VEENHUIZEN;Drenthe;1699;NOORDENVELD;Openbaar;0592388355;www.devlinderhof.nl;Ir. Mentropweg;72;9341 AT;VEENHUIZEN
11711;10TP;Openbare Basisschool de Elsakker;Schoolstraat;5;9337 PB;WESTERVELDE;Drenthe;1699;NOORDENVELD;Openbaar;0592613991;www.obs-elsakker.nl;Schoolstraat;5;9337 PB;WESTERVELDE
11711;11IQ;De Eskampen;Boerakkerweg;2-A;9321 EL;PEIZE;Drenthe;1699;NOORDENVELD;Openbaar;0505033158;www.eskampen.nl;Postbus;17;9320 AA;PEIZE
11711;12UM;Openbare Basisschool de Marke;Molenweg;1;9301 JD;RODEN;Drenthe;1699;NOORDENVELD;Openbaar;0505017434;www.demarke-roden.nl;Molenweg;1;9301 JD;RODEN
11711;13GD;Openbare Basisschool de Tandem;Klimop;2;9301 PK;RODEN;Drenthe;1699;NOORDENVELD;Openbaar;          ;www.obsdetandemroden.nl;Klimop;2;9301 PK;RODEN
11711;13LI;Het Valkhof Openbare Basisschool voor Daltononderwijs;Schonauwen;2;9301 SP;RODEN;Drenthe;1699;NOORDENVELD;Openbaar;0505017300;www.hetvalkhof.nl;Schonauwen;2;9301 SP;RODEN
11711;13QB;OBS De Poolster;Zevenhuisterweg;3;9311 VA;NIEUW-RODEN;Drenthe;1699;NOORDENVELD;Openbaar;0505017772;www.obsdepoolster.com;Postbus;131;9300 AC;RODEN
11711;13UC;Openbare Basisschool de Flint;J.P. Santeeweg;109;9312 TA;NIETAP;Drenthe;1699;NOORDENVELD;Openbaar;0594514649;www.obsdeflint.nl;J.P. Santeeweg;109;9312 TA;NIETAP
11711;13XM;OBS Het Palet;Hoofdstraat;21-B;9315 PA;RODERWOLDE;Drenthe;1699;NOORDENVELD;Openbaar;0505033551;www.obs-roderwolde.nl;Hoofdstraat;21-B;9315 PA;RODERWOLDE
13308;11GR;Samenwerkingsschool Oostermoer;Bonnerveen;7-A;9511 PM;GIETERVEEN;Drenthe;1680;AA EN HUNZE;Openbaar;0599648953;                                                                                ;Bonnerveen;7-A;9511 PM;GIETERVEEN
31089;23VG;Montessorisch Hoogeveen;De Karn;5;7908 NX;HOOGEVEEN;Drenthe;0118;HOOGEVEEN;Algemeen bijzonder;0528220300;                                                                                ;De Karn;5;7908 NX;HOOGEVEEN
32073;04TG;Christelijke Basisschool DRIJBER;Nijenkamp;29;9419 TM;DRIJBER;Drenthe;1731;MIDDEN-DRENTHE;Protestants-Christelijk;0593562543;www.cbsdrijber.nl;Nijenkamp;29;9419 TM;DRIJBER
32073;05NR;Christelijke Basisschool De Regenboog;Schoolstraat;3;9342 PE;EEN;Drenthe;1699;NOORDENVELD;Protestants-Christelijk;0592656433;www.regenboog-een.nl;Schoolstraat;3;9342 PE;EEN
32073;05TN;CBS De Vaart Christelijke Basisschool;Prof. Dr. Obbinkstraat;3-B;9423 PR;HOOGERSMILDE;Drenthe;1731;MIDDEN-DRENTHE;Protestants-Christelijk;0592459055;www.cbsdevaart.nl;Prof. Dr. Obbinkstraat;3-B;9423 PR;HOOGERSMILDE
32073;05TS;Christelijke Basisschool De Veenster;Kerklaan;12;9341 AV;VEENHUIZEN;Drenthe;1699;NOORDENVELD;Protestants-Christelijk;0592388285;www.cbsdeveenster.nl;Kerklaan;12;9341 AV;VEENHUIZEN
32073;06HP;Protestants Christelijke Basisschool Het Octaaf;Witterhoofdweg;1-C;9405 HX;ASSEN;Drenthe;0106;ASSEN;Protestants-Christelijk;0592351506;www.octaafassen.nl;Witterhoofdweg;1-C;9405 HX;ASSEN
32073;06HZ;Christelijke Basisschool De Wingerd;Floralaan;1-A;9421 NP;BOVENSMILDE;Drenthe;1731;MIDDEN-DRENTHE;Protestants-Christelijk;0592412991;www.cbsdewingerd.nl;Postbus;12;9420 AA;BOVENSMILDE
32073;06LV;Basisschool De Marke;de Weegbree;21;9461 KM;GIETEN;Drenthe;1680;AA EN HUNZE;Protestants-Christelijk;0592263113;www.demarkegieten.nl;Postbus;120;9460 AC;GIETEN
32073;07AU;De Wegwijzer;Homaat;2;9431 MK;WESTERBORK;Drenthe;1731;MIDDEN-DRENTHE;Protestants-Christelijk;0593331305;www.wegwijzer-westerbork.nl;Postbus;44;9430 AA;WESTERBORK
32073;08PP;Basisschool de Schutkampen;Prins Hendrikstraat;2;9422 GJ;SMILDE;Drenthe;1731;MIDDEN-DRENTHE;Protestants-Christelijk;0592414010;www.cbsdeschutkampen.nl;Prins Hendrikstraat;2;9422 GJ;SMILDE
32073;09KO;De Regenboog;Lisdoddestraat;2;9404 KE;ASSEN;Drenthe;0106;ASSEN;Protestants-Christelijk;0592316723;www.regenboogassen.nl;Lisdoddestraat;2;9404 KE;ASSEN
32073;09QP;Basisschool Prinses Beatrix;Sportlaan;10;9411 BG;BEILEN;Drenthe;1731;MIDDEN-DRENTHE;Protestants-Christelijk;0593522718;www.cbsprinsesbeatrix.nl;Postbus;147;9410 AC;BEILEN
32073;10KN;Basisschool De Eshorst;Esweg;106;9411 AK;BEILEN;Drenthe;1731;MIDDEN-DRENTHE;Protestants-Christelijk;0593523159;                                                                                ;Postbus;108;9410 AC;BEILEN
32073;11KN;De Lichtbaak;Amstelstraat;14-B;9406 TH;ASSEN;Drenthe;0106;ASSEN;Protestants-Christelijk;0592354150;www.delichtbaak.nl;Amstelstraat;14-B;9406 TH;ASSEN
32073;11VZ;Het Kompas Protestants Christelijke Basisschool;Einthovenstraat;26;9402 CB;ASSEN;Drenthe;0106;ASSEN;Protestants-Christelijk;0592354234;www.kompasassen.nl;Einthovenstraat;26;9402 CB;ASSEN
32073;12OR;De Scharmhof;Scharmbarg;1;9407 EA;ASSEN;Drenthe;0106;ASSEN;Protestants-Christelijk;0592343800;www.scharmhof.nl;Scharmbarg;1;9407 EA;ASSEN
32073;21LS;De Borg;Dusselheugte;13;9403 GN;ASSEN;Drenthe;0106;ASSEN;Protestants-Christelijk;0592370203;www.basisschooldeborg.nl;Dusselheugte;13;9403 GN;ASSEN
32073;27BM;Christelijke Basisschool het Krijt;Schoolstraat;29;9408 MB;ASSEN;Drenthe;0106;ASSEN;Protestants-Christelijk;0592460370;www.cbshetkrijt.nl;Schoolstraat;29;9408 MB;ASSEN
32073;27WZ;de Kloostertuin;De Boomgaard;1;9408 JA;ASSEN;Drenthe;0106;ASSEN;Protestants-Christelijk;0592346801;www.dekloostertuin.nl;De Boomgaard;1;9408 JA;ASSEN
40655;03GR;Het Mozaiek;De Stok;4;7913 RE;HOLLANDSCHEVELD;Drenthe;0118;HOOGEVEEN;Protestants-Christelijk;0528343291;www.pcbshetmozaiek.nl;Postbus;30;7913 ZG;HOLLANDSCHEVELD
40888;04FH;Sint Theresiaschool;Kerkweg;4;7741 PJ;COEVORDEN;Drenthe;0109;COEVORDEN;Rooms-Katholiek;0524514782;                                                                                ;Kerkweg;4;7741 PJ;COEVORDEN
40888;04ZO;Sint Willibrordus;Thorbeckestraat;1;7742 AJ;COEVORDEN;Drenthe;0109;COEVORDEN;Rooms-Katholiek;0524513531;www.willibrordusschool.nl;Thorbeckestraat;1;7742 AJ;COEVORDEN
40888;06GS;K B S De Plataan;Vledderstraat;3-E;7941 LC;MEPPEL;Drenthe;0119;MEPPEL;Rooms-Katholiek;0522251025;www.kbsdeplataan.nl;Vledderstraat;3-E;7941 LC;MEPPEL
40888;06MU;R.K. Basisschool Titus Brandsma;Herman Bavinckstraat;1;7901 BS;HOOGEVEEN;Drenthe;0118;HOOGEVEEN;Rooms-Katholiek;0528264115;www.tbschool.nl;Herman Bavinckstraat;1;7901 BS;HOOGEVEEN
40888;06QQ;St Franciscussch;Zuidersloot;61;7765 AG;WEITEVEEN;Drenthe;0114;EMMEN;Rooms-Katholiek;0524541495;                                                                                ;Zuidersloot;61;7765 AG;WEITEVEEN
40888;06SF;Sint Gerardus Majella School;Europaweg;149;7766 AE;NIEUW-SCHOONEBEEK;Drenthe;0114;EMMEN;Rooms-Katholiek;0524541403;                                                                                ;Europaweg;149;7766 AE;NIEUW-SCHOONEBEEK
40888;07QO;Rooms Katholieke Basisschool Panta Rhei;Jan van Scorelstraat;9;7741 XM;COEVORDEN;Drenthe;0109;COEVORDEN;Rooms-Katholiek;0524513467;www.pantarheischool.nl;Jan van Scorelstraat;9;7741 XM;COEVORDEN
41025;03HR;Gereformeerd Basisschool De Cirkel;Prins Bernhardstraat;11;9402 AR;ASSEN;Drenthe;0106;ASSEN;Gereformeerd vrijgemaakt;0592340155;www.vgponn.nl;Postbus;41;9400 AA;ASSEN
41025;06EO;GBS De Parel;Aletta Jacobsweg;78;9408 AM;ASSEN;Drenthe;0106;ASSEN;Gereformeerd vrijgemaakt;0592342819;www.vgponn.nl;Aletta Jacobsweg;78;9408 AM;ASSEN
41025;06EY;Gereformeerde Basisschool De Lichtkring;Larikslaan;2;9471 RM;ZUIDLAREN;Drenthe;1730;TYNAARLO;Gereformeerd vrijgemaakt;0504091571;www.lichtkring.vgponn.nl;Larikslaan;2;9471 RM;ZUIDLAREN
41025;29XN;Gereformeerde Basisschool De Driesprong;Martin Luther Kingweg;46;9403 PA;ASSEN;Drenthe;0106;ASSEN;Gereformeerd vrijgemaakt;0592372295;                                                                                ;Hannie Schaftweg;1;9403 MS;ASSEN
41052;03LC;Christelijke Basisschool De Fontein;Westrupstraat;10;7841 AZ;SLEEN;Drenthe;0109;COEVORDEN;Protestants-Christelijk;0591361910;www.fonteinsleen.nl;Westrupstraat;10;7841 AZ;SLEEN
41052;05KZ;Christelijke Basisschool De Kiel;Rolderstraat;18;7849 PC;DE KIEL;Drenthe;0109;COEVORDEN;Protestants-Christelijk;0591381218;www.cbsdekiel.nl;Postbus;11;7848 ZG;SCHOONOORD
41052;05OD;Protestants Christelijk Basisschool De Wegwijzer;Schoolweg;2;7917 PX;GEESBRUG;Drenthe;0109;COEVORDEN;Protestants-Christelijk;0524291600;www.wegwijzergeesbrug.nl;Schoolweg;2;7917 PX;GEESBRUG
41052;06ZY;Christelijke Basisschool de Schutse;Paardelandsdrift;9;7854 PR;AALDEN;Drenthe;0109;COEVORDEN;Protestants-Christelijk;0591371898;www.cbsdeschutse.nl;Paardelandsdrift;9;7854 PR;AALDEN
41052;07WO;Christelijke Basisschool De Slagkrooie;Ringstraat;22;7848 BW;SCHOONOORD;Drenthe;0109;COEVORDEN;Protestants-Christelijk;0591382412;www.cbsdeslagkrooie.nl;Ringstraat;22;7848 BW;SCHOONOORD
41052;08CT;Willem Alexanderschool;Oranjestraat;2;7753 TK;DALERPEEL;Drenthe;0109;COEVORDEN;Protestants-Christelijk;0524571956;www.waschooldp.nl;Oranjestraat;2;7753 TK;DALERPEEL
41052;10YA;Mijndert van der Thynenschool;Jan van Scorelstraat;11;7741 XM;COEVORDEN;Drenthe;0109;COEVORDEN;Protestants-Christelijk;0524513283;www.mvdthijnenschool.nl;Jan van Scorelstraat;11;7741 XM;COEVORDEN
41052;11LS;Paul Krugerschool;van Heutszsingel;9;7741 ER;COEVORDEN;Drenthe;0109;COEVORDEN;Protestants-Christelijk;0524516182;www.paulkrugerschool.nl;van Heutszsingel;9;7741 ER;COEVORDEN
41052;11WZ;Dr. Picardtschool;van Pallandtlaan;7;7742 WJ;COEVORDEN;Drenthe;0109;COEVORDEN;Protestants-Christelijk;0524512148;www.drpicardt.nl;van Pallandtlaan;7;7742 WJ;COEVORDEN
41168;06EP;Johannes Calvijnschool;Emmastraat;43;7941 HN;MEPPEL;Drenthe;0119;MEPPEL;Gereformeerd vrijgemaakt;0522253644;www.calvijnschoolmeppel.nl;Emmastraat;43;7941 HN;MEPPEL
41168;15BQ;Gereformeerde Basisschool Johannes Calvyn;Beukemastraat;44;7906 AN;HOOGEVEEN;Drenthe;0118;HOOGEVEEN;Gereformeerd vrijgemaakt;0528267382;www.johannescalvijn.nl;Beukemastraat;44;7906 AN;HOOGEVEEN
41196;04VK;Christelijke Basisschool De Wel;Burg. Haitsmalaan;7;7948 AE;NIJEVEEN;Drenthe;0119;MEPPEL;Protestants-Christelijk;0522490461;www.cbsdewel.nl;Burg. Haitsmalaan;7;7948 AE;NIJEVEEN
41196;05NN;Christelijke Basisschool De Fontein;Leggeloo;31-B;7991 PW;DWINGELOO;Drenthe;1701;WESTERVELD;Protestants-Christelijk;0521593196;www.cbsdefonteindwingeloo.nl;Leggeloo;31-B;7991 PW;DWINGELOO
41196;05RN;Protestants Christelijke Basisschool Nyensleek;Hoofdweg;136;8383 EK;NIJENSLEEK;Drenthe;1701;WESTERVELD;Protestants-Christelijk;0521381885;www.debroncbs.nl;Hoofdweg;136;8383 EK;NIJENSLEEK
41196;05SE;School met de Bijbel De Akker;Hoogeveenseweg;28;7933 PG;PESSE;Drenthe;0118;HOOGEVEEN;Protestants-Christelijk;0528262566;www.deakkerpesse.nl;Hoogeveenseweg;28;7933 PG;PESSE
41196;05SX;Protestants Christelijke Basisschool De Arendsvleugel;Bleekhof;2;7961 AW;RUINERWOLD;Drenthe;1690;DE WOLDEN;Protestants-Christelijk;0522481344;www.cbsdearendsvleugel.nl;Bleekhof;2;7961 AW;RUINERWOLD
41196;07LB;Basisschool Roosjen;Hoofdstraat;23;7981 AC;DIEVER;Drenthe;1701;WESTERVELD;Protestants-Christelijk;0521591513;www.roosjenschool.nl;Hoofdstraat;23;7981 AC;DIEVER
41196;08AQ;Basisschool Harm Vonck;Berghuizen;15;7961 LS;RUINERWOLD;Drenthe;1690;DE WOLDEN;Protestants-Christelijk;0522451483;www.harmvonckschool.nl;Berghuizen;15;7961 LS;RUINERWOLD
41196;08PR;Prins Johan Frisoschool voor Christelijk Basisonderwijs;Prinses Christinalaan;8;7958 SK;KOEKANGE;Drenthe;1690;DE WOLDEN;Protestants-Christelijk;0522451384;www.johanfrisoschool.nl;Prinses Christinalaan;8;7958 SK;KOEKANGE
41196;09NT;Protestants Christelijke School De Heidevlinder;Heidelaan;1;7921 EA;ZUIDWOLDE DR;Drenthe;1690;DE WOLDEN;Protestants-Christelijk;0528372772;www.cbsdeheidevlinder.nl;Heidelaan;1;7921 EA;ZUIDWOLDE DR
41425;04PP;Christelijke Basisschool De Regenboog;Jan Naardingweg;56;7914 PN;NOORDSCHESCHUT;Drenthe;0118;HOOGEVEEN;Protestants-Christelijk;0528341268;www.binnenplein.nl;Jan Naardingweg;56;7914 PN;NOORDSCHESCHUT
41425;04PY;Protestants Christelijke Basisschool De Hoeksteen;Hoogeveensche Vaart;34;7912 TB;NIEUWEROORD;Drenthe;0118;HOOGEVEEN;Protestants-Christelijk;0528341405;www.hoeksteen-nieuweroord.nl;Hoogeveensche Vaart;34;7912 TB;NIEUWEROORD
41425;06RS;Prot Chr Basisschool;De Spil;7;7918 AX;NIEUWLANDE;Drenthe;0118;HOOGEVEEN;Protestants-Christelijk;0528351301;www.de-hoeksteen-nieuwlande.nl;De Spil;7;7918 AX;NIEUWLANDE
41425;10IY;Protestants Christelijke Basisschool De Palm;Langewijk;110;7916 PT;ELIM;Drenthe;0118;HOOGEVEEN;Protestants-Christelijk;0528352384;www.depalm.elim-drenthe.nl;Langewijk;110;7916 PT;ELIM
41486;03WU;Basisschool De Wegwijzer;Harm Tiesingstraat;74;9571 AZ;2E EXLOERMOND;Drenthe;1681;BORGER-ODOORN;Protestants-Christelijk;0599671206;www.cbsdewegwijzer.com;Harm Tiesingstraat;74;9571 AZ;2E EXLOERMOND
41486;04LY;Christelijke Basisschool De Borgh;Molenstraat;3-A;9531 CH;BORGER;Drenthe;1681;BORGER-ODOORN;Protestants-Christelijk;0599234254;www.cbsdeborgh.nl;Molenstraat;3-A;9531 CH;BORGER
41486;05NQ;Menso Altingschool;Brinkhovenlaan;3-B;9765 BH;PATERSWOLDE;Drenthe;1730;TYNAARLO;Protestants-Christelijk;0503093854;www.cbs-mensoalting.nl;Brinkhovenlaan;3-B;9765 BH;PATERSWOLDE
41486;05OC;Christelijke Daltonschool 't Kompas;Ceresstraat;6;9514 CA;GASSELTERNIJVEEN;Drenthe;1680;AA EN HUNZE;Protestants-Christelijk;0599512734;www.cdskompas.nl;Ceresstraat;6;9514 CA;GASSELTERNIJVEEN
41486;05RC;Christelijke Basisschool De Klister;Noorderdiep;123;9521 BC;NIEUW-BUINEN;Drenthe;1681;BORGER-ODOORN;Protestants-Christelijk;0599613864;www.cbsdeklister.nl;Postbus;76;9530 AB;BORGER
41486;05RD;Protestants Christelijk Basisonderwijs Nieuw Buinen;Zuiderdiep;159;9521 AD;NIEUW-BUINEN;Drenthe;1681;BORGER-ODOORN;Protestants-Christelijk;0599212321;www.school59.nl;Zuiderdiep;159;9521 AD;NIEUW-BUINEN
41486;07NN;Christelijke Basisschool De Holtenhoek;Holtenweg;5;9481 CN;VRIES;Drenthe;1730;TYNAARLO;Protestants-Christelijk;0592541644;www.deholtenhoek.nl;Postbus;25;9480 AA;VRIES
41486;10IL;Het Stroomdal;Esdoornlaan;1;9471 SH;ZUIDLAREN;Drenthe;1730;TYNAARLO;Protestants-Christelijk;0504093170;www.stroomdal.nl;Esdoornlaan;1;9471 SH;ZUIDLAREN
41486;10YQ;Jong Laren;Ludinge;6;9471 JD;ZUIDLAREN;Drenthe;1730;TYNAARLO;Protestants-Christelijk;0504092079;www.jonglaren.nl;Ludinge;6;9471 JD;ZUIDLAREN
41486;14ZS;Rehoboth Basisschool;Rooilaan;154;7876 GW;VALTHERMOND;Drenthe;1681;BORGER-ODOORN;Protestants-Christelijk;0599662367;www.rehoboth-school.nl;Rooilaan;154;7876 GW;VALTHERMOND
41486;21QU;De Tol;De Hilde;1;9472 WH;ZUIDLAREN;Drenthe;1730;TYNAARLO;Protestants-Christelijk;0504091804;www.cbsdetol.nl;De Hilde;1;9472 WH;ZUIDLAREN
41551;03RZ;Christelijke Nationale Basisschool De Bron;Ganzenroer;2;7833 GH;NIEUW-AMSTERDAM;Drenthe;0114;EMMEN;Protestants-Christelijk;0591551293;www.cbs-debron.nl;Ganzenroer;2;7833 GH;NIEUW-AMSTERDAM
41551;04LL;'t Twiespan;Vredenveld;78;7824 CJ;EMMEN;Drenthe;0114;EMMEN;Protestants-Christelijk;0591622409;www.twiespan.nl;Vredenveld;78;7824 CJ;EMMEN
41551;04RO;Christelijke Basisschool De Praom;De Zwaai;2;7894 DJ;ZWARTEMEER;Drenthe;0114;EMMEN;Protestants-Christelijk;0591312043;www.praom.nl;De Zwaai;2;7894 DJ;ZWARTEMEER
41551;04WD;Protestants Christelijke Basisschool Willem Alexander;Verlengde Vaart NZ;37;7887 EE;ERICA;Drenthe;0114;EMMEN;Protestants-Christelijk;0591301623;www.willemalexandererica.nl;Verlengde Vaart NZ;37;7887 EE;ERICA
41551;04XB;Basisschool De Bentetop;Weerdingerkanaal ZZ;163;7831 AK;NIEUW-WEERDINGE;Drenthe;0114;EMMEN;Protestants-Christelijk;0591521405;www.bentetop.nl;Weerdingerkanaal ZZ;163;7831 AK;NIEUW-WEERDINGE
41551;05KX;cb de Zwaluw;Zandpolstraat;9;7764 AK;ZANDPOL;Drenthe;0114;EMMEN;Protestants-Christelijk;0591552655;www.cbdezwaluw.nl;Zandpolstraat;9;7764 AK;ZANDPOL
41551;06KW;Het Anker Protestants Christelijke Jenaplanschool;Distelvink;107;7827 DD;EMMEN;Drenthe;0114;EMMEN;Protestants-Christelijk;0591630597;www.hetankeremmen.nl;Distelvink;107;7827 DD;EMMEN
