BRIN,financieel,overig
13YD,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13LF,Basistoezicht,Zwak
12DE,Zwak,Zwak, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
07XO,Basistoezicht,Basistoezicht
03GD,Basistoezicht,Basistoezicht
11LX,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
10YK,Basistoezicht,Basistoezicht
07PP,Basistoezicht,Zwak
04XT,Basistoezicht,Basistoezicht
04QL,Basistoezicht,Basistoezicht
04PJ,Basistoezicht,Basistoezicht
04NB,Basistoezicht,Basistoezicht
04LO,Basistoezicht,Basistoezicht
22KD,Basistoezicht,Basistoezicht
21QK,Basistoezicht,Basistoezicht
18OA,Basistoezicht,Basistoezicht
18JF,Basistoezicht,Basistoezicht
15XO,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15AN,Basistoezicht,Geen oordeel,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
10CR,Basistoezicht,Basistoezicht
27MK,Basistoezicht,Basistoezicht,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
23PC,Basistoezicht,Basistoezicht
18ZW,Basistoezicht,Basistoezicht
18YS,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
18XB,Basistoezicht,Basistoezicht
18VN,Basistoezicht,Basistoezicht
18VI,Basistoezicht,Basistoezicht
18UY,Basistoezicht,Basistoezicht
18UQ,Basistoezicht,Basistoezicht
18UG,Basistoezicht,Basistoezicht
18RJ,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
18NV,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
18MO,Geen oordeel,Zwak, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
14ZT,Basistoezicht,Basistoezicht
13ES,Basistoezicht,Zwak, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13ES,Basistoezicht,Zwak, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
12YU,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
11VJ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
11JU,Basistoezicht,Zwak
09BQ,Basistoezicht,Basistoezicht
07JU,Basistoezicht,Basistoezicht
05VL,Basistoezicht,Basistoezicht
05MU,Basistoezicht,Basistoezicht
04TJ,Basistoezicht,Basistoezicht
18LP,Basistoezicht,Basistoezicht
18KD,Basistoezicht,Basistoezicht
18ID,Basistoezicht,Basistoezicht
10UD,Basistoezicht,Basistoezicht
10CI,Basistoezicht,Basistoezicht
10CF,Basistoezicht,Basistoezicht
09IV,Basistoezicht,Basistoezicht
09GN,Basistoezicht,Basistoezicht
09GK,Basistoezicht,Basistoezicht
08IV,Basistoezicht,Basistoezicht
08GK,Basistoezicht,Basistoezicht
06DJ,Basistoezicht,Basistoezicht
28CZ,Basistoezicht,Basistoezicht
27KE,Basistoezicht,Basistoezicht
27JX,Basistoezicht,Basistoezicht
25KN,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
18MC,Basistoezicht,Basistoezicht
18DR,Basistoezicht,Basistoezicht
11JK,Basistoezicht,Basistoezicht
10DV,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
10AE,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
08FS,Basistoezicht,Basistoezicht
07FY,Basistoezicht,Basistoezicht
04GH,Basistoezicht,Basistoezicht
03EU,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
28CK,Basistoezicht,Basistoezicht
25KR,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
08VK,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
07XM,Basistoezicht,Basistoezicht
07XI,Basistoezicht,Basistoezicht
07LA,Basistoezicht,Basistoezicht
05MM,Basistoezicht,Basistoezicht
05MJ,Basistoezicht,Basistoezicht
12LT,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
11SI,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
21KE,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
18LS,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
06CY,Basistoezicht,Basistoezicht
06BE,Basistoezicht,Basistoezicht
05XZ,Basistoezicht,Basistoezicht
04HY,Basistoezicht,Basistoezicht
03FH,Basistoezicht,Basistoezicht
13RX,Basistoezicht,Basistoezicht
13IK,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13DD,Basistoezicht,Basistoezicht
12AA,Basistoezicht,Basistoezicht
11OW,Basistoezicht,Basistoezicht
11CD,Basistoezicht,Basistoezicht
10RA,Basistoezicht,Basistoezicht
10NA,Basistoezicht,Basistoezicht
10JN,Basistoezicht,Basistoezicht
09YS,Basistoezicht,Geen oordeel, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
09PI,Basistoezicht,Basistoezicht
07LZ,Basistoezicht,Basistoezicht
06DO,Basistoezicht,Basistoezicht
26PX,Basistoezicht,Basistoezicht
20UU,Basistoezicht,Basistoezicht
20UO,Basistoezicht,Basistoezicht
13AR,Basistoezicht,Basistoezicht
12UO,Basistoezicht,Basistoezicht
12NO,Basistoezicht,Basistoezicht
11JD,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
10VD,Basistoezicht,Basistoezicht
09MH,Basistoezicht,Basistoezicht
09KZ,Basistoezicht,Basistoezicht
08NI,Basistoezicht,Basistoezicht
06LU,Basistoezicht,Basistoezicht
05DM,Basistoezicht,Basistoezicht
03TQ,Basistoezicht,Basistoezicht
03NT,Basistoezicht,Basistoezicht
14MW,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
14KH,Basistoezicht,Basistoezicht
14FA,Basistoezicht,Basistoezicht
14BZ,Basistoezicht,Basistoezicht
13YT,Basistoezicht,Basistoezicht
13VG,Basistoezicht,Basistoezicht
13GW,Basistoezicht,Basistoezicht
13BG,Basistoezicht,Basistoezicht
13AY,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13AS,Basistoezicht,Basistoezicht
12VH,Basistoezicht,Basistoezicht
12UP,Basistoezicht,Basistoezicht
12NG,Basistoezicht,Basistoezicht
12MN,Basistoezicht,Basistoezicht
12DU,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
11GH,Basistoezicht,Basistoezicht
10BC,Basistoezicht,Basistoezicht
09ZS,Basistoezicht,Basistoezicht
09FD,Basistoezicht,Basistoezicht
15PZ,Basistoezicht,Basistoezicht
15NM,Basistoezicht,Basistoezicht
15IE,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
14MR,Basistoezicht,Basistoezicht
13YL,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13QZ,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13HM,Basistoezicht,Basistoezicht
12WB,Basistoezicht,Basistoezicht
12EX,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
09BX,Basistoezicht,Basistoezicht
07KZ,Basistoezicht,Basistoezicht
07JM,Basistoezicht,Basistoezicht
05TB,Basistoezicht,Basistoezicht
05QT,Basistoezicht,Basistoezicht
05OF,Basistoezicht,Basistoezicht
04RF,Basistoezicht,Basistoezicht
04QQ,Basistoezicht,Basistoezicht
23RJ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
18IE,Basistoezicht,Basistoezicht
18EH,Basistoezicht,Basistoezicht
18EB,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
18EB,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15ED,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
14DU,Basistoezicht,Basistoezicht
13XG,Basistoezicht,Basistoezicht
13TX,Basistoezicht,Basistoezicht
08GW,Basistoezicht,Basistoezicht
08FQ,Basistoezicht,Basistoezicht
06AM,Basistoezicht,Basistoezicht
04HD,Basistoezicht,Basistoezicht
03ET,Basistoezicht,Basistoezicht
03ES,Basistoezicht,Basistoezicht
18DU,Basistoezicht,Basistoezicht
14BC,Basistoezicht,Basistoezicht
13XT,Basistoezicht,Basistoezicht
13UJ,Basistoezicht,Basistoezicht
10TC,Basistoezicht,Basistoezicht
10EC,Basistoezicht,Basistoezicht
10DY,Basistoezicht,Basistoezicht
10BH,Basistoezicht,Basistoezicht
08IN,Basistoezicht,Basistoezicht
08GF,Basistoezicht,Basistoezicht
08FF,Basistoezicht,Basistoezicht
08EU,Basistoezicht,Basistoezicht
06AZ,Basistoezicht,Basistoezicht
03FJ,Basistoezicht,Basistoezicht
23CC,Basistoezicht,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13KS,Basistoezicht,Zwak, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
12ZT,Basistoezicht,Basistoezicht
11RJ,Basistoezicht,Basistoezicht
11FL,Basistoezicht,Basistoezicht
10QY,Basistoezicht,Basistoezicht
28AL,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
27MG,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
24CP,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
22MB,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
16ND,Basistoezicht,Basistoezicht
16KB,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
16HN,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
16GD,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
16CC,Basistoezicht,Basistoezicht
15YP,Basistoezicht,Basistoezicht
15UC,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15PJ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15PJ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15MU,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
14LW,Basistoezicht,Basistoezicht
13XL,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13UB,Basistoezicht,Basistoezicht
13GC,Basistoezicht,Geen oordeel,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
11TX,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
10UA,Basistoezicht,Basistoezicht
22LM,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15BI,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
10ZU,Aangepast toezicht financiële continuïteit,Basistoezicht
10JX,Aangepast toezicht financiële continuïteit,Basistoezicht
10EO,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
07KJ,Aangepast toezicht financiële continuïteit,Basistoezicht
04WP,Aangepast toezicht financiële continuïteit,Basistoezicht
03HD,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
22LO,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
22JR,Basistoezicht,Basistoezicht
20BW,Basistoezicht,Zwak
18HR,Basistoezicht,Basistoezicht
18FG,Basistoezicht,Basistoezicht
09ZQ,Basistoezicht,Basistoezicht
09DT,Basistoezicht,Basistoezicht
06CA,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
05ZF,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
05YE,Basistoezicht,Basistoezicht
08SE,Aangepast toezicht financiële continuïteit,Basistoezicht
06UT,Aangepast toezicht financiële continuïteit,Basistoezicht
06MQ,Aangepast toezicht financiële continuïteit,Basistoezicht
17TH,Basistoezicht,Zeer zwak, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17SY,Basistoezicht,Basistoezicht
17QM,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17PH,Basistoezicht,Basistoezicht
17OS,Basistoezicht,Zwak
17OB,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17ND,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17MO,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17LX,Basistoezicht,Basistoezicht
17LB,Basistoezicht,Basistoezicht
12ZA,Basistoezicht,Basistoezicht
11PN,Basistoezicht,Zwak, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
10NP,Basistoezicht,Basistoezicht
08WT,Basistoezicht,Basistoezicht
07OQ,Basistoezicht,Basistoezicht
23FH,Basistoezicht,Basistoezicht
07AJ,Basistoezicht,Basistoezicht
04NS,Basistoezicht,Basistoezicht
04EN,Basistoezicht,Basistoezicht
03TN,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13CL,Basistoezicht,Basistoezicht
11WQ,Basistoezicht,Basistoezicht
11LF,Basistoezicht,Basistoezicht
24RB,Basistoezicht,Basistoezicht
06PL,Basistoezicht,Basistoezicht
04PE,Basistoezicht,Basistoezicht
11EM,Basistoezicht,Basistoezicht
10PO,Basistoezicht,Zwak
09XC,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
09AG,Basistoezicht,Basistoezicht
05AU,Basistoezicht,Basistoezicht
23EF,Basistoezicht,Basistoezicht
01VR,Basistoezicht,Basistoezicht
22KE,Basistoezicht,Basistoezicht
10QS,Basistoezicht,Basistoezicht
10QM,Basistoezicht,Zwak
09YF,Basistoezicht,Basistoezicht
09BY,Basistoezicht,Basistoezicht
09BO,Basistoezicht,Basistoezicht
07OH,Basistoezicht,Basistoezicht
05VG,Basistoezicht,Basistoezicht
05QX,Basistoezicht,Basistoezicht
05QI,Basistoezicht,Basistoezicht
04RV,Basistoezicht,Basistoezicht
04RQ,Basistoezicht,Geen oordeel, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
04RQ,Basistoezicht,Geen oordeel, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
04NT,Basistoezicht,Basistoezicht
09YQ,Basistoezicht,Basistoezicht
09LY,Basistoezicht,Basistoezicht
05RH,Basistoezicht,Basistoezicht
05PC,Basistoezicht,Zwak
04WV,Basistoezicht,Basistoezicht
04RU,Basistoezicht,Basistoezicht
07OV,Basistoezicht,Basistoezicht
04WG,Basistoezicht,Basistoezicht
06KD,Basistoezicht,Basistoezicht
13KD,Basistoezicht,Basistoezicht
12YV,Basistoezicht,Basistoezicht
12AH,Basistoezicht,Basistoezicht
11PD,Basistoezicht,Basistoezicht
11CE,Basistoezicht,Basistoezicht
08AW,Basistoezicht,Basistoezicht
07YY,Basistoezicht,Zwak
07YN,Basistoezicht,Basistoezicht
07XL,Basistoezicht,Basistoezicht
07NI,Basistoezicht,Basistoezicht
07BN,Basistoezicht,Basistoezicht
06RY,Basistoezicht,Basistoezicht
05SK,Basistoezicht,Basistoezicht
05SF,Basistoezicht,Basistoezicht
26PZ,Basistoezicht,Basistoezicht
04SR,Basistoezicht,Basistoezicht
07UR,Basistoezicht,Basistoezicht
07TH,Basistoezicht,Basistoezicht
07TB,Basistoezicht,Basistoezicht
06JF,Basistoezicht,Basistoezicht
06FU,Basistoezicht,Basistoezicht
04UN,Basistoezicht,Basistoezicht
03WL,Basistoezicht,Basistoezicht
03UG,Basistoezicht,Basistoezicht
03NY,Basistoezicht,Basistoezicht
03JG,Basistoezicht,Basistoezicht
15FH,Basistoezicht,Basistoezicht
14ZN,Basistoezicht,Basistoezicht
10HY,Basistoezicht,Basistoezicht
04VR,Basistoezicht,Basistoezicht
04GX,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
03PH,Basistoezicht,Basistoezicht
22LN,Basistoezicht,Basistoezicht
21QV,Basistoezicht,Basistoezicht
16ZO,Basistoezicht,Basistoezicht
16YX,Basistoezicht,Basistoezicht
16YF,Basistoezicht,Basistoezicht
11QW,Basistoezicht,Basistoezicht
11ER,Basistoezicht,Basistoezicht
10PW,Basistoezicht,Basistoezicht
10OY,Basistoezicht,Basistoezicht
10FF,Basistoezicht,Basistoezicht
09WE,Basistoezicht,Basistoezicht
09JZ,Basistoezicht,Basistoezicht
08YP,Basistoezicht,Basistoezicht
08KD,Basistoezicht,Basistoezicht
07SG,Basistoezicht,Basistoezicht
07HL,Basistoezicht,Basistoezicht
06GB,Basistoezicht,Zwak
05JX,Basistoezicht,Basistoezicht
05ID,Basistoezicht,Basistoezicht
05DA,Basistoezicht,Basistoezicht
05CM,Basistoezicht,Basistoezicht
05CD,Basistoezicht,Basistoezicht
04IQ,Basistoezicht,Basistoezicht
28CE,Basistoezicht,Basistoezicht
27LY,Basistoezicht,Basistoezicht
26AV,Basistoezicht,Basistoezicht
25KP,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17KG,Basistoezicht,Basistoezicht
15MH,Basistoezicht,Basistoezicht
15JV,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
14LL,Basistoezicht,Basistoezicht
14IX,Basistoezicht,Basistoezicht
14GD,Basistoezicht,Basistoezicht
14DJ,Basistoezicht,Basistoezicht
13WS,Basistoezicht,Zwak
13PI,Basistoezicht,Basistoezicht
13KK,Basistoezicht,Basistoezicht
13FA,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
12SL,Basistoezicht,Basistoezicht,Geen oordeel, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
12SL,Basistoezicht,Basistoezicht,Geen oordeel, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
11LE,Basistoezicht,Basistoezicht
10XK,Basistoezicht,Zwak
10GK,Basistoezicht,Basistoezicht
07UO,Basistoezicht,Basistoezicht
07AK,Basistoezicht,Basistoezicht
06OP,Basistoezicht,Basistoezicht
06MV,Basistoezicht,Basistoezicht
05HD,Basistoezicht,Basistoezicht
04KU,Basistoezicht,Basistoezicht
03PQ,Basistoezicht,Basistoezicht
08XB,Basistoezicht,Basistoezicht
07OB,Basistoezicht,Basistoezicht
04VD,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
11CJ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
10MZ,Basistoezicht,Basistoezicht
04TT,Basistoezicht,Basistoezicht
01XU,Basistoezicht,Basistoezicht
28AK,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
22KF,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
14ZW,Basistoezicht,Basistoezicht
11VU,Basistoezicht,Basistoezicht
11KG,Basistoezicht,Basistoezicht
10PG,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
10PG,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
09WS,Basistoezicht,Basistoezicht
09WM,Basistoezicht,Basistoezicht
08ZK,Basistoezicht,Basistoezicht
08KA,Basistoezicht,Basistoezicht
07ST,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
07PI,Basistoezicht,Basistoezicht
06JG,Basistoezicht,Basistoezicht
06FY,Basistoezicht,Basistoezicht
05BL,Basistoezicht,Basistoezicht
05BG,Basistoezicht,Basistoezicht
04XH,Basistoezicht,Basistoezicht
03NZ,Basistoezicht,Basistoezicht
03NX,Basistoezicht,Basistoezicht
23UN,Basistoezicht,Basistoezicht
06IX,Basistoezicht,Basistoezicht
25GH,Basistoezicht,Basistoezicht
17QS,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17OZ,Basistoezicht,Basistoezicht
17NV,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17MY,Basistoezicht,Basistoezicht
17MJ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17MJ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
12WU,Basistoezicht,Basistoezicht
12PG,Basistoezicht,Basistoezicht
11XA,Basistoezicht,Basistoezicht
04SG,Basistoezicht,Basistoezicht
27LW,Basistoezicht,Basistoezicht
23RH,Basistoezicht,Basistoezicht
16EN,Basistoezicht,Basistoezicht
16DD,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
16AA,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
16AA,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15YB,Basistoezicht,Basistoezicht
15OU,Basistoezicht,Basistoezicht
15JS,Basistoezicht,Basistoezicht
15GL,Basistoezicht,Basistoezicht
15BG,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
06RA,Basistoezicht,Basistoezicht
13ID,Basistoezicht,Basistoezicht
13CU,Basistoezicht,Basistoezicht
12PI,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
12PI,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
08VM,Basistoezicht,Basistoezicht
07LT,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
07LH,Basistoezicht,Basistoezicht
04PA,Basistoezicht,Basistoezicht
27PC,Basistoezicht,Basistoezicht
28DC,Basistoezicht,Basistoezicht
27ME,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
27MC,Basistoezicht,Basistoezicht
24CT,Basistoezicht,Basistoezicht
24CR,Basistoezicht,Basistoezicht
22LY,Basistoezicht,Basistoezicht
16JW,Basistoezicht,Basistoezicht
16IR,Basistoezicht,Basistoezicht
16DI,Basistoezicht,Basistoezicht
15ZD,Basistoezicht,Basistoezicht
15YJ,Basistoezicht,Basistoezicht
15XB,Basistoezicht,Basistoezicht
15WH,Basistoezicht,Basistoezicht
15UT,Basistoezicht,Basistoezicht
15RM,Basistoezicht,Basistoezicht
15PE,Basistoezicht,Basistoezicht
15NR,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15NR,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15LE,Basistoezicht,Basistoezicht
15FE,Basistoezicht,Basistoezicht
14YX,Basistoezicht,Basistoezicht
13MR,Basistoezicht,Basistoezicht
23CB,Basistoezicht,Basistoezicht
09UE,Basistoezicht,Basistoezicht
07MQ,Basistoezicht,Basistoezicht
31DE,Basistoezicht,Geen oordeel
23GV,Basistoezicht,Basistoezicht
24PB,Basistoezicht,Basistoezicht
09JB,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
09CW,Aangepast toezicht financiële continuïteit,Basistoezicht
08AO,Geen oordeel,Zwak, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
03GE,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
24DH,Basistoezicht,Zwak
04RT,Basistoezicht,Basistoezicht
10NC,Basistoezicht,Basistoezicht
09TZ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
04QR,Basistoezicht,Basistoezicht
28AV,Basistoezicht,Basistoezicht
26AG,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
19UU,Basistoezicht,Basistoezicht
19UC,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
19SZ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
19RG,Basistoezicht,Zwak
11MP,Basistoezicht,Basistoezicht
10NL,Basistoezicht,Basistoezicht
10IJ,Basistoezicht,Basistoezicht
09UK,Geen oordeel,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
08WM,Basistoezicht,Basistoezicht
04QI,Basistoezicht,Basistoezicht
04QG,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15GR,Basistoezicht,Basistoezicht
04PN,Basistoezicht,Basistoezicht
08VP,Basistoezicht,Basistoezicht
07LN,Basistoezicht,Basistoezicht
04PK,Basistoezicht,Basistoezicht
04ON,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
04ON,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
04OM,Basistoezicht,Basistoezicht
04NO,Basistoezicht,Basistoezicht
07KI,Basistoezicht,Basistoezicht
06HT,Basistoezicht,Basistoezicht
04MY,Basistoezicht,Basistoezicht
07KD,Basistoezicht,Basistoezicht
14ZD,Basistoezicht,Basistoezicht
04MG,Basistoezicht,Basistoezicht
04MF,Basistoezicht,Basistoezicht
27YG,Basistoezicht,Basistoezicht
23VH,Basistoezicht,Basistoezicht
29UG,Basistoezicht,Basistoezicht
23UY,Basistoezicht,Basistoezicht
23UX,Basistoezicht,Basistoezicht
03LQ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
24ZE,Basistoezicht,Basistoezicht
08AM,Aangepast toezicht financiële continuïteit,Zwak
04MB,Basistoezicht,Basistoezicht
05WR,Aangepast toezicht financiële continuïteit,Basistoezicht
23EN,Basistoezicht,Basistoezicht
23EC,Basistoezicht,Basistoezicht
31CJ,Basistoezicht,Geen oordeel
27YJ,Basistoezicht,Basistoezicht
23GW,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
22NT,Basistoezicht,Basistoezicht
23UP,Basistoezicht,Basistoezicht
22MH,Basistoezicht,Basistoezicht
29XY,Basistoezicht,Basistoezicht
12KB,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
12AU,Basistoezicht,Basistoezicht
11CP,Basistoezicht,Basistoezicht
09SW,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
08WC,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
07MK,Geen oordeel,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
