BRIN,financieel,overig
16ZP,Basistoezicht,Basistoezicht
16XN,Basistoezicht,Basistoezicht
16WH,Basistoezicht,Basistoezicht
07YO,Basistoezicht,Basistoezicht
05OL,Basistoezicht,Basistoezicht
06SO,Basistoezicht,Basistoezicht
06SJ,Basistoezicht,Basistoezicht
06OQ,Basistoezicht,Basistoezicht
05EO,Basistoezicht,Basistoezicht
03YS,Basistoezicht,Basistoezicht
15CQ,Basistoezicht,Basistoezicht
15CP,Basistoezicht,Basistoezicht
24RU,Basistoezicht,Basistoezicht
09DH,Basistoezicht,Geen oordeel, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
08CM,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
08CM,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
06XQ,Basistoezicht,Basistoezicht
06UQ,Basistoezicht,Zwak
06RE,Basistoezicht,Basistoezicht
03ZB,Basistoezicht,Basistoezicht
27LR,Basistoezicht,Basistoezicht
09NH,Basistoezicht,Basistoezicht
04QM,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
06OU,Basistoezicht,Basistoezicht
06OS,Basistoezicht,Basistoezicht
20VF,Basistoezicht,Basistoezicht
20VD,Basistoezicht,Basistoezicht
20VB,Basistoezicht,Basistoezicht
20UW,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
20UL,Basistoezicht,Basistoezicht
09XT,Basistoezicht,Basistoezicht
09UI,Basistoezicht,Basistoezicht
09AW,Basistoezicht,Basistoezicht
07NB,Basistoezicht,Basistoezicht
04TD,Basistoezicht,Basistoezicht
06NX,Basistoezicht,Basistoezicht
08XJ,Basistoezicht,Basistoezicht
07OW,Basistoezicht,Basistoezicht
16YU,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
16YB,Basistoezicht,Basistoezicht
16WZ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
16UW,Geen oordeel,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
14KK,Basistoezicht,Basistoezicht
14HU,Basistoezicht,Basistoezicht
14FC,Basistoezicht,Basistoezicht
13YZ,Basistoezicht,Geen oordeel, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13YZ,Basistoezicht,Geen oordeel, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13RP,Basistoezicht,Basistoezicht
13NA,Basistoezicht,Basistoezicht
13HY,Basistoezicht,Basistoezicht
12WT,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
12PF,Basistoezicht,Basistoezicht
12GJ,Basistoezicht,Basistoezicht
10QX,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
10QX,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
10MY,Basistoezicht,Basistoezicht
09YO,Basistoezicht,Basistoezicht
09TP,Basistoezicht,Basistoezicht
09CV,Basistoezicht,Basistoezicht
08VN,Basistoezicht,Basistoezicht
04UT,Basistoezicht,Basistoezicht
05VX,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
08XI,Basistoezicht,Basistoezicht
07OL,Basistoezicht,Basistoezicht
13KI,Basistoezicht,Basistoezicht
12JX,Basistoezicht,Basistoezicht
12BR,Basistoezicht,Basistoezicht
12AP,Geen oordeel,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
11QX,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
11DD,Basistoezicht,Basistoezicht
05HA,Basistoezicht,Basistoezicht
06LP,Basistoezicht,Basistoezicht
08XF,Basistoezicht,Basistoezicht
23CR,Basistoezicht,Basistoezicht
15CC,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13WQ,Basistoezicht,Basistoezicht
13TG,Basistoezicht,Basistoezicht
13PG,Basistoezicht,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
12JW,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
06LJ,Basistoezicht,Basistoezicht
03ST,Basistoezicht,Basistoezicht
04UK,Basistoezicht,Basistoezicht
11PL,Basistoezicht,Basistoezicht
11CV,Basistoezicht,Geen oordeel, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
10NN,Basistoezicht,Basistoezicht
08WS,Basistoezicht,Basistoezicht
04UG,Basistoezicht,Basistoezicht
12YZ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
12JU,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
11CU,Basistoezicht,Basistoezicht
10NM,Basistoezicht,Basistoezicht
03RQ,Basistoezicht,Basistoezicht
24DX,Basistoezicht,Basistoezicht
13YX,Basistoezicht,Geen oordeel, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13MY,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13HN,Basistoezicht,Basistoezicht
13CM,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
12EZ,Basistoezicht,Basistoezicht
06KQ,Basistoezicht,Basistoezicht
14FR,Basistoezicht
31DN,Geen oordeel
