BEVOEGD GEZAG NUMMER;BEVOEGD GEZAG NAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;ADMINISTRATIEKANTOORNUMMER;SOORT PRIMAIR ONDERWIJS
23064;Ver. tot Opr./Inst. Vansch. op Gereformeerde Grondslag Zeist;Gerrit Jan vd Veenlaan;2;3705 PE;ZEIST;0355;ZEIST;Protestants-Christelijk;0306918858;                                                                                ;Gerrit Jan vd Veenlaan;2;3705 PE;ZEIST;165;BO
23128;Quo Vadis Stichting voor Basisonderwijs;Bosanemoon;30;7422 NW;DEVENTER;0150;DEVENTER;Interconfessioneel;0850435490;www.stichtingquovadis.nl;Postbus;256;7400 AG;DEVENTER;744;BO + SBO
23337;Vereniging voor Prot. Chr. Onderw. Rhenen;Ericalaan;30;3911 XN;RHENEN;0340;RHENEN;Protestants-Christelijk;0317613985;www.ericaschool.nl;Ericalaan;30;3911 XN;RHENEN;950;BO
23440;Schoolvereniging 'Willemspark';Willem Witsenstraat;12;1077 AZ;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0206400982;                                                                                ;Postjesweg;175;1062 JN;AMSTERDAM;222;BO
23545;Ver. tot het verstr. van b.o. op ref. grondsl. te Oosterland;Lange Dreef;8;4307 AD;OOSTERLAND;1676;SCHOUWEN-DUIVELAND;Reformatorisch;0111643578;                                                                                ;Lange Dreef;8;4307 AD;OOSTERLAND;165;BO
23674;Vereniging 'een School met de Bijbel';Gasthuisstraat;7;3958 BL;AMERONGEN;1581;UTRECHTSE HEUVELRUG;Protestants-Christelijk;0343451268;www.cbswilhelmina.nl;Postbus;9;3958 ZT;AMERONGEN;950;BO
23883;Ver. Verstr. Kleuter/Bo op GGs te Nunspeet;F.A. Molijnlaan;69;8071 AC;NUNSPEET;0302;NUNSPEET;Protestants-Christelijk;0341263402;                                                                                ;F.A. Molijnlaan;69;8071 AC;NUNSPEET;165;BO
23948;Ver t Stg Insth Sch op Geref Grondsl;Meidoornstraat;20-BG;8091 JX;WEZEP;0269;OLDEBROEK;Protestants-Christelijk;          ;www.meidoornschool.nl;Meidoornstraat;20-BG;8091 JX;WEZEP;638;BO
23961;Stichting Primair Onderwijs Leudal en Thornerkwartier;In de Neerakker;2;6093 JE;HEYTHUYSEN;1640;LEUDAL;Rooms-Katholiek;0475550449;www.spolt.nl;Postbus;3043;6093 ZG;HEYTHUYSEN;401;BO + SBO
24065;Ver. Herv. Chr. Schoolonderw. te Waspik;'t Vaartje;8;5165 NB;WASPIK;0867;WAALWIJK;Protestants-Christelijk;0416311379;www.cbsdebrug.nl;'t Vaartje;8;5165 NB;WASPIK;606;BO
24078;Ver. v. Prot.-Chr. Basisond.;Rembrandtlaan;18;5161 ES;SPRANG-CAPELLE;0867;WAALWIJK;Protestants-Christelijk;0416274653;www.pwabasisschool.nl;Rembrandtlaan;18;5161 ES;SPRANG-CAPELLE;606;BO
24195;Ver. verstr. bo op Ger. Gr.sl. te Genemuiden;Jan van Nassaustraat;3;8281 ZC;GENEMUIDEN;1896;ZWARTEWATERLAND;Reformatorisch;0383854847;                                                                                ;Jan van Nassaustraat;3;8281 ZC;GENEMUIDEN;165;BO
24207;Stg. St. Martinus v. Onderwijs op Katholieke Grondslag;Prinses Beatrixstraat;2;5911 BM;VENLO;0983;VENLO;Rooms-Katholiek;0773200681;                                                                                ;Prinses Beatrixstraat;2;5911 BM;VENLO;413;BO
24481;Ver. Basisond. op Reform. Grondsl. te Kootwijkerbroek;Schoonbeekhof;53;3774 DA;KOOTWIJKERBROEK;0203;BARNEVELD;Reformatorisch;0342417960;                                                                                ;Schoonbeekhof;53;3774 DA;KOOTWIJKERBROEK;165;BO
24533;Ver. Chr. Nat. Schoolonderwijs te Nunspeet;Eikbosserweg;45-B;8071 XA;NUNSPEET;0302;NUNSPEET;Protestants-Christelijk;0341270885;www.cnsnunspeet.net;Postbus;172;8070 AD;NUNSPEET;606;BO
24546;Ver. voor Chr. Nat. schoolond. Giessen/Rijswijk;Parallelweg;24;4283 GS;GIESSEN;0874;WOUDRICHEM;Protestants-Christelijk;0183443956;                                                                                ;Postbus;80;3360 AB;SLIEDRECHT;136;BO
24597;Rotterdamse Vereniging voor Katholiek Onderwijs;Stationssingel;80;3033 HJ;ROTTERDAM;0599;ROTTERDAM;Rooms-Katholiek;0104537500;www.rvko.nl;Postbus;4250;3006 AG;ROTTERDAM;706;BO + SBO
24715;Ver. tot het verstr. van Chr. BO op Geref. Grondslag (VCOG);Lindelaan;15;4043 MA;OPHEUSDEN;1740;NEDER-BETUWE;Reformatorisch;0344644317;                                                                                ;Postbus;38;4043 ZG;OPHEUSDEN;165;BO
24844;Stichting VCO Oost Nederland;M.H. Tromplaan;47;7513 AB;ENSCHEDE;0153;ENSCHEDE;Protestants-Christelijk;0534309440;www.vco-oostnederland.nl;Postbus;2393;7500 CJ;ENSCHEDE;722;BO
24845;Ver. tot het Verstr. van Onderw. op Geref. Grondsl.;Buizerdhof;213;2903 GR;CAPELLE AAN DEN IJSSEL;0502;CAPELLE AAN DEN IJSSEL;Protestants-Christelijk;0104795226;www.petrusdatheen.nl;Postbus;9098;3007 AB;ROTTERDAM;165;BO
24922;Stichting Altra;Rode Kruisstraat;32;1025 KN;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0205558333;www.altra.nl;Rode Kruisstraat;32;1025 KN;AMSTERDAM;950;SO + VSO
25131;Stichting Nutsbasisschool Delden;Bernhardstraat;1;7491 EA;DELDEN;1735;HOF VAN TWENTE;Algemeen bijzonder;          ;www.toonladder.nl;Bernhardstraat;1;7491 EA;DELDEN;722;BO
25156;Amersfoortse Schoolvereniging;Johan v Oldenbarneveltln;23;3818 HA;AMERSFOORT;0307;AMERSFOORT;Algemeen bijzonder;0334613568;                                                                                ;Johan v Oldenbarneveltln;23;3818 HA;AMERSFOORT;638;BO
25196;Vereniging tot het Verstrekken Onderwijs Gereform. Grondslag;Hofje van Gratie;15;2926 RD;KRIMPEN AAN DEN IJSSEL;0542;KRIMPEN AAN DEN IJSSEL;Reformatorisch;0180514318;www.sggkrimpen.nl;Hofje van Gratie;15;2926 RD;KRIMPEN AAN DEN IJSSEL;165;BO
25351;Stichting Keender;Holthuizerstraat;14;7482 ET;HAAKSBERGEN;0158;HAAKSBERGEN;Samenwerking Opb., RK;0535723503;www.keender.nl;Postbus;35;7480 AA;HAAKSBERGEN;722;BO
25664;Stichting Katholiek Montessori Onderwijs Bussum;J.J.H. Verhulstlaan;13;1401 CS;BUSSUM;1942;GOOISE MEREN;Rooms-Katholiek;0356911011;www.kmsbussum.nl;J.J.H. Verhulstlaan;13;1401 CS;BUSSUM;706;BO
25833;Vereniging voor Basisonderwijs Gereform. Grondslag te Tholen;Het Lint;21;4691 DK;THOLEN;0716;THOLEN;Protestants-Christelijk;0166606104;                                                                                ;Het Lint;21;4691 DK;THOLEN;165;BO
25859;Stichting Attendiz;Welbergweg;20;7556 PE;HENGELO OV;0164;HENGELO;Algemeen bijzonder;0880103600;www.attendiz.nl;Postbus;8105;7550 KC;HENGELO OV;949;SO + VSO
25897;Stichting voor Chr. Speciaal Basisonderwijs Barneveld e.o.;Ds. E. Fransenlaan;1;3772 TX;BARNEVELD;0203;BARNEVELD;Protestants-Christelijk;0342413856;www.devogelhorst.nl;Ds. E. Fransenlaan;1;3772 TX;BARNEVELD;606;SBO
26132;Stichting Herman Broeren;Keulsebaan;508;6045 GL;ROERMOND;0957;ROERMOND;Algemeen bijzonder;0475321980;www.hermanbroeren.nl;Keulsebaan;508;6045 GL;ROERMOND;950;SO + VSO
26158;Stichting Fedra;Antillenstraat;21;1944 XA;BEVERWIJK;0375;BEVERWIJK;Samenwerking PC, RK;0251217101;www.fedra.nl;Postbus;1148;1940 EC;BEVERWIJK;223;BO + SBO
26613;Stichting Reformatorisch Onderwijs;Sint Eustatiusstraat;5;2612 HA;DELFT;0503;DELFT;Reformatorisch;0152617712;                                                                                ;Nassaulaan;54-56;2628 GJ;DELFT;606;BO
26626;Stg. tot het Verstr. van BO op Gereformeerde Grondslag;Koerheuvelweg;1;3912 AA;RHENEN;0340;RHENEN;Protestants-Christelijk;0317612659;                                                                                ;Koerheuvelweg;1;3912 AA;RHENEN;165;BO
26977;Stichting Best Onderwijs;Nassaustraat;10;5682 AD;BEST;0753;BEST;Samenwerking PC, RK, Alg. Bijz;0499376120;www.bestonderwijs.nl;Postbus;275;5680 AG;BEST;401;BO
27067;Vereniging voor Christelijk Basisonderwijs Lochem-Laren;Bolksbeekweg;2;7241 PH;LOCHEM;0262;LOCHEM;Protestants-Christelijk;0573471242;www.prinshendrikschool.nl;Postbus;53;7240 AB;LOCHEM;744;BO
27237;Ver. voor basisonderwijs op Gereformeerde grondslag Speuld;Garderenseweg;205;3852 NH;ERMELO;0233;ERMELO;Protestants-Christelijk;0577407219;www.speulderbrink.nl;Garderenseweg;205;3852 NH;ERMELO;165;BO
27340;Ver. Bev. vh Chr. Nat. onderw. te Hollum;De Hagen;15;9161 BX;HOLLUM;0060;AMELAND;Protestants-Christelijk;0519554500;www.cbskoninginwilhelmina. nl;De Hagen;15;9161 BX;HOLLUM;948;BO
27445;Stichting Tyltylschool de Maasgouw Maastricht;Bemelergrubbe;5;6226 NK;MAASTRICHT;0935;MAASTRICHT;Rooms-Katholiek;0436018181;                                                                                ;Postbus;4259;6202 WC;MAASTRICHT;401;SO + VSO
27770;Stichting KBA NW West;Laan van Kronenburg;14;1183 AS;AMSTELVEEN;0362;AMSTELVEEN;Samenwerking PC, RK;0206182572;www.stkba.nl;Laan van Kronenburg;14;1183 AS;AMSTELVEEN;780;BO
27860;Ver. Christ. Nat. Schoolond. d'Uylenborch;De Borchgravestraat;54;4286 BN;ALMKERK;0874;WOUDRICHEM;Protestants-Christelijk;0183401339;www.uylenborch.nl;Postbus;80;3360 AB;SLIEDRECHT;136;BO
27910;Stichting Marcant-BSV;Oostermaat;1-A;7623 CS;BORNE;0147;BORNE;Protestants-Christelijk;0748528235;www.marcantonderwijs.nl;Oostermaat;1-A;7623 CS;BORNE;722;BO
28147;Stichting Katholiek Onderwijs Batavorum;Hoenderik;9;6662 VM;ELST GLD;1734;OVERBETUWE;Rooms-Katholiek;0481350003;www.batavorum.nl;Postbus;210;6660 AE;ELST GLD;136;BO
28212;de Vrije School Noord en Oost Nederland;Industrieweg;85-1;7202 CA;ZUTPHEN;0301;ZUTPHEN;Antroposofisch;0575533860;www.vsnon.nl;Postbus;4086;7200 BB;ZUTPHEN;744;BO
28420;Ver. voor Chr. Nat. Sch.ond. Amsterdam(Bos & Lommer);Hertspieghelweg;55;1055 KK;AMSTERDAM;0363;AMSTERDAM;Protestants-Christelijk;0206840451;www.dewiltzangh.nl;Hertspieghelweg;55;1055 KK;AMSTERDAM;239;BO
28563;Stichting Katholiek Onderwijs De Streek;Dam;20-A;1613 AL;GROOTEBROEK;0532;STEDE BROEC;Rooms-Katholiek;0228524096;www.sko-destreek.nl;Dam;20-A;1613 AL;GROOTEBROEK;213;BO
28601;Stg. Katholiek Basisonderwijs Alphen aan den Rijn;Klepperman;9-11;2401 GH;ALPHEN AAN DEN RIJN;0484;ALPHEN AAN DEN RIJN;Rooms-Katholiek;0172437817;www.skba.nl;Postbus;290;2400 AG;ALPHEN AAN DEN RIJN;098;BO
28614;Stichting Openluchtscholen voor het Gezonde kind;Cliostraat;40;1077 KJ;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0206442760;                                                                                ;Postbus;9853;1006 AN;AMSTERDAM;222;BO
28849;Stichting voor Katholiek Onderwijs Aalsmeer;Gerberastraat;2;1431 SG;AALSMEER;0358;AALSMEER;Rooms-Katholiek;0742650650;www.skoa.eu;Postbus;185;7620 AD;BORNE;722;BO
29056;Vereniging Stichting Instandhouding School met de Bijbel Staphorst;Buitenstouwe;6-B;7951 PL;STAPHORST;0180;STAPHORST;Protestants-Christelijk;0522262163;                                                                                ;Buitenstouwe;6-B;7951 PL;STAPHORST;165;BO
29473;Ver. Verstr. v. BO op R.G.s. te Kruiningen;Marconistraat;16;4416 DE;KRUININGEN;0703;REIMERSWAAL;Reformatorisch;0113382674;www.comrieschool.nl;Marconistraat;16;4416 DE;KRUININGEN;165;BO
29577;Ver. Scholen der Evangelische Broedergemeente;Zinzendorflaan;2-B;3703 CG;ZEIST;0355;ZEIST;Protestants-Christelijk;0306917285;www.comeniusschool.info;Postbus;556;3700 AN;ZEIST;780;BO
29771;Ver. Stg. en Inst.houd. van Scholen met de Bijbel;Kerkstraat;6;5321 TN;HEDEL;0263;MAASDRIEL;Protestants-Christelijk;0735991783;www.dezaaierhedel.nl;Kerkstraat;6;5321 TN;HEDEL;165;BO
29785;Stichting Katholiek Onderwijs Hulst;Steenstraat;32-A;4561 AS;HULST;0677;HULST;Rooms-Katholiek;0114371448;www.skohulst.nl;Postbus;198;4560 AD;HULST;950;BO
29810;Stichting Conexus;Panovenlaan;1;6525 DZ;NIJMEGEN;0268;NIJMEGEN;Rooms-Katholiek;0243733960;www.conexus.nu;Panovenlaan;1;6525 DZ;NIJMEGEN;   ;BO + SBO + SO
29823;Ver. verstrekken van onderwijs Geref. Grondslag Krabbendijke;Hinkelingestraat;10;4413 AG;KRABBENDIJKE;0703;REIMERSWAAL;Protestants-Christelijk;0113501846;                                                                                ;Postbus;17;4413 ZG;KRABBENDIJKE;165;BO
29863;Stichting R.K. Scholen Diemen;Ouddiemerlaan;106;1111 HL;DIEMEN;0384;DIEMEN;Rooms-Katholiek;0206981832;www.sint-petrusschool.nl;Ouddiemerlaan;106;1111 HL;DIEMEN;706;BO
30010;Stichting voor P.C.B.O. voor Amersfoort;Burg de Beaufortweg;16;3833 AG;LEUSDEN;0327;LEUSDEN;Protestants-Christelijk;0334648065;www.pcboamersfoort.nl;Burg de Beaufortweg;16;3833 AG;LEUSDEN;136;BO + SBO
30013;Stichting Scholen van het Rozenkruis;'s-Gravesandelaan;15;1222 SX;HILVERSUM;0402;HILVERSUM;Algemeen bijzonder;0356832913;                                                                                ;'s-Gravesandelaan;15;1222 SX;HILVERSUM;954;BO
30015;Ver. Oecumenisch Onderwijs in Maarn;Breeschotenlaan;26;3951 VL;MAARN;1581;UTRECHTSE HEUVELRUG;Algemeen bijzonder;0343442358;www.deladder.nl;Breeschotenlaan;26;3951 VL;MAARN;722;BO
30027;Stichting de Vrije School Eindhoven-Zuid;Mimosaplein;1;5643 CJ;EINDHOVEN;0772;EINDHOVEN;Antroposofisch;0402110648;www.vbs-deregenboog.nl;Mimosaplein;1;5643 CJ;EINDHOVEN;606;BO
30044;Stichting Schoolbestuur St. Jozef;Schoolplein;2;2636 GB;SCHIPLUIDEN;1842;MIDDEN-DELFLAND;Rooms-Katholiek;0153808529;www.jozefschool-schipluiden.nl;Schoolplein;2;2636 GB;SCHIPLUIDEN;606;BO
30051;Ver v. Pr.-Christ. Bas.onderw. te Bakkeveen;Mjumster Wei;12;9243 SJ;BAKKEVEEN;0086;OPSTERLAND;Protestants-Christelijk;0516541463;www.betrouwen.nl;Mjumster Wei;12;9243 SJ;BAKKEVEEN;780;BO
30090;Stichting Jenaplan Onderwijs Uithoorn;Arthur van Schendellaan;100-E;1422 LE;UITHOORN;0451;UITHOORN;Rooms-Katholiek;0297521590;www.startnest.nl;Postbus;164;1420 AD;UITHOORN;706;BO
30117;Sticht. Speciaal Onderwijs op Gereformeerde Grondslag;Hasselterdijk;33;8043 PD;ZWOLLE;0193;ZWOLLE;Protestants-Christelijk;0384226078;www.so-zwolle.nl;Hasselterdijk;33;8043 PD;ZWOLLE;165;SBO + SO + VSO
30124;Montessori-Vereniging Tholen;Zoekweg;1-A;4691 HT;THOLEN;0716;THOLEN;Algemeen bijzonder;0166604465;www.montessorischooldekraal.nl;Zoekweg;1-A;4691 HT;THOLEN;413;BO
30128;Ver. tot het verstrekken van basisonderw. Geref. grondslag;De la Reystraat;38;3851 BH;ERMELO;0233;ERMELO;Protestants-Christelijk;0341551201;www.augustinus-ermelo.nl;De la Reystraat;38;3851 BH;ERMELO;165;BO
30133;Vereniging voor Chr. Onderwijs op Reformatorische Grondslag in de Hoeksche Waard;Laningpad;3;3262 JS;OUD-BEIJERLAND;0584;OUD-BEIJERLAND;Reformatorisch;0186615923;www.ebenhaezerschool.nl;Laningpad;3;3262 JS;OUD-BEIJERLAND;165;BO
30145;Stichting tot het verstrekken Onderwijs Gereform. Grondslag;Clasinastraat;3;4341 ER;ARNEMUIDEN;0687;MIDDELBURG;Algemeen bijzonder;0118601986;                                                                                ;Clasinastraat;3;4341 ER;ARNEMUIDEN;165;BO
30185;Stg. spec. ond. ref. gr.slag in de regio Zuid-Holland Zuid;Dorpsstraat-Oost;3-A;2991 CR;BARENDRECHT;0489;BARENDRECHT;Protestants-Christelijk;0180611077;www.dewijngaardsbo.nl;Postbus;374;2990 AJ;BARENDRECHT;165;SBO + SO + VSO
30198;Stichting Maashorst, Multif. Org. Jeugdzorg/Onderw.;Monseigneur Suijsstraat;8;5375 AG;REEK;1685;LANDERD;Rooms-Katholiek;0486492949;www.stichtingmaashorst.nl;Postbus;14;5375 ZG;REEK;413;SO
